spec,metric,n,mean,se,t,ci_low,ci_high,median,positive_share
primary,decay_vw_minus_ew,152,0.14144125254244042,0.08021779245110003,1.7632154690452446,-0.017052975453493824,0.29993548053837465,0.020976976252986806,0.5
secondary_levels_did,levels_did,152,0.05117895159964321,0.03313375450130421,1.5446167320889852,-0.014286684886081438,0.11664458808536786,0.0,0.4934210526315789
robust_winsor_5_95,decay_vw_minus_ew,152,0.15117745047105755,0.0615378547728618,2.4566577926555677,0.029591023236772568,0.2727638777053425,0.020976976252986806,0.5
robust_clear_only,decay_vw_minus_ew,122,0.13584899863073802,0.08646852549481612,1.5710803191489868,-0.03533825474117211,0.30703625200264817,0.020976976252986806,0.5
