signalname,is_mean_ew,pp_mean_ew,is_n_ew,pp_n_ew,is_mean_vw,pp_mean_vw,is_n_vw,pp_n_vw,Acronym,Predictability in OP,Year,decay_ew,decay_vw,decay_diff_vw_minus_ew,levels_did
ShareIss1Y,1.0747460074130668,1.2318370474355456,408.0,192.0,0.8073485392669235,0.8145165828188867,408.0,192.0,ShareIss1Y,1_clear,2008,-0.1461657349168477,-0.00887849943776678,0.13728723547908092,-0.14992299647051555
ShareIss5Y,0.8553096469260087,1.3603839310442214,432.0,216.0,0.7828168331230257,0.5904541590773971,432.0,216.0,ShareIss5Y,1_clear,2006,-0.590516295394837,0.24573139706028446,0.8362476924551214,-0.6974369581638413
ShortInterest,0.9958692541274607,1.3000762258553946,216.0,276.0,0.14488450574962958,0.3664912111217177,216.0,276.0,ShortInterest,2_likely,2001,-0.30546878565346147,-1.5295404034095943,-1.2240716177561328,-0.08260026635584578
Size,1.375831191219319,0.6468734683963259,594.0,516.0,0.7703634898831105,-0.46468098912496486,594.0,516.0,Size,1_clear,1981,0.5298307870000828,1.6031970559709057,1.073366268970823,-0.5060867561850823
SmileSlope,2.2867264154321894,1.0818611501980042,119.0,133.0,2.1882049216218316,0.9357075240993992,119.0,133.0,SmileSlope,1_clear,2011,0.5268952407699662,0.5723857876135837,0.04549054684361753,-0.04763213228824714
Tax,0.46266318152901464,0.4903711763533983,336.0,240.0,0.21217122643488584,0.413578483790797,336.0,240.0,Tax,1_clear,2004,-0.05988804800246678,-0.9492675361318228,-0.889379488129356,0.1736992625315275
TotalAccruals,0.3310985214963182,0.07710323963847045,480.0,228.0,0.10177439122646467,-0.18965406014022865,480.0,228.0,TotalAccruals,1_clear,2005,0.7671290125669503,2.8634752598835727,2.0963462473166223,-0.037433169508845565
TrendFactor,2.3458232296271766,0.2741506542514686,1020.0,96.0,1.7852507586539081,-0.38832703482718417,1020.0,96.0,TrendFactor,1_clear,2016,0.8831324326620128,1.217519602187418,0.33438716952540515,-0.10190521810538433
VolSD,0.47946907282774337,0.05532834736823568,360.0,276.0,0.5712974434327347,0.21694713669289975,360.0,276.0,VolSD,1_clear,2001,0.8846049714073775,0.6202553692708002,-0.2643496021365773,0.06979041871967279
VolumeTrend,0.6836851829720423,0.8398884673703046,180.0,336.0,0.14746557171144808,0.47473099282810227,180.0,336.0,VolumeTrend,2_likely,1996,-0.22847253134729692,-2.219266621479811,-1.990794090132514,0.17106213671839182
XFIN,1.0960154696302178,1.2343492268428462,342.0,216.0,0.7382520589532623,0.5225090323823042,342.0,216.0,XFIN,1_clear,2006,-0.1262151502836913,0.2922349134750148,0.4184500637587061,-0.35407678378358654
betaVIX,1.1172461914643563,0.529080706677738,179.0,216.0,1.1172461914643563,0.529080706677738,179.0,216.0,betaVIX,1_clear,2006,0.5264421479170311,0.5264421479170311,0.0,0.0
cfp,0.29777505692089185,1.2710408315960173,300.0,240.0,0.2016818312726081,0.4422095142555754,300.0,240.0,cfp,1_clear,2004,-3.26845970491641,-1.1926095745226166,2.0758501303937935,-0.7327380916921581
dCPVolSpread,1.3433018844157898,0.6838453024111171,190.0,97.0,1.547589597653848,0.5717504141686147,190.0,97.0,dCPVolSpread,1_clear,2014,0.4909220999801355,0.63055424058459,0.1396321406044545,-0.31638260148056063
dNoa,1.4226645175870676,0.3073049984746275,468.0,240.0,0.7799493032588584,0.021484586239310727,468.0,240.0,dNoa,1_clear,2004,0.7839933486245676,0.9724538682840772,0.1884605196595096,0.3568948020928925
dVolCall,0.875190177324769,0.5942878829652455,190.0,97.0,0.6533804551184211,0.6173440148806303,190.0,97.0,dVolCall,1_clear,2014,0.3209614340258817,0.05515383870988223,-0.26580759531599946,0.24486585412173267
dVolPut,0.3846302012647519,0.22742561229081426,190.0,97.0,0.4423962480186605,-0.13561497193842836,190.0,97.0,dVolPut,2_likely,2014,0.40871618624073996,1.3065463880984542,0.8978302018577142,-0.4208066309831512
fgr5yrLag,1.0495749399215921,0.006422979563322935,96.0,336.0,0.550694292526021,0.04048373105952923,96.0,336.0,fgr5yrLag,1_clear,1996,0.993880399274965,0.9264860166357793,-0.06739438263918562,0.5329413988917775
grcapx,0.6629590668135622,0.25530779429066774,288.0,216.0,0.16580644295534971,0.13949140762108697,288.0,216.0,grcapx,1_clear,2006,0.6148965945698943,0.15870936536132774,-0.4561872292085666,0.38133623718863174
grcapx3y,0.6952526321675102,0.08330204723643347,288.0,216.0,0.1830614093140758,-0.019932459772254288,288.0,216.0,grcapx3y,1_clear,2006,0.8801844921079519,1.108884006994923,0.22869951488697116,0.4089567158447466
hire,0.7476697888073153,0.38257178620017535,546.0,120.0,0.21624595399924473,-0.20560510028019804,546.0,120.0,hire,1_clear,2014,0.4883145047087501,1.9507928193695414,1.4624783146607914,-0.05675305167230288
iomom_cust,0.5541423755549808,-0.02104490677625375,239.0,168.0,0.32876336230201725,-0.046737646397881055,239.0,168.0,iomom_cust,2_likely,2010,1.037977436313505,1.1421619674121282,0.10418453109862313,0.19968627363133618
iomom_supp,0.5880780812210643,-0.032463983156750205,239.0,168.0,0.3942107145093386,0.11942255120478357,239.0,168.0,iomom_supp,2_likely,2010,1.0552035251668337,0.6970590935017457,-0.358144431665088,0.34575390107325954
realestate,0.358018140842761,0.1612155563320056,420.0,168.0,0.358018140842761,0.1612155563320056,420.0,168.0,realestate,2_likely,2010,0.549700034885075,0.549700034885075,0.0,0.0
retConglomerate,1.3655144661247602,0.302587953882855,396.0,144.0,0.3510755628427975,0.14886597688481082,396.0,144.0,retConglomerate,1_clear,2012,0.7784073611892377,0.5759716920215574,-0.2024356691676803,0.8607169262839187
roaq,1.587183304321806,1.2912829355289293,360.0,168.0,0.4050462349184867,0.6753838876186039,360.0,168.0,roaq,1_clear,2010,0.1864311248657654,-0.6674241836972542,-0.8538553085630196,0.566238021492994
sfe,0.8319624710710086,0.7396532905432246,204.0,276.0,1.1165576669814488,0.05740470098294218,204.0,276.0,sfe,1_clear,2001,0.11095353905681807,0.9485877866584961,0.837634247601678,-0.9668437854707226
skew1,0.829032353220766,0.2917697986544453,119.0,145.0,1.0214527843424033,-0.06800110043470951,119.0,145.0,skew1,2_likely,2010,0.6480598163377722,1.0665729258141752,0.41851310947640297,-0.552191330210792
std_turn,0.9010280568768118,0.20184959566877936,360.0,276.0,0.9219611627885158,-0.14914126482368684,360.0,276.0,std_turn,1_clear,2001,0.7759785678944999,1.1617652357205612,0.3857866678260613,-0.37192396640417036
zerotrade12M,0.6302654433261234,0.1817430471422041,528.0,216.0,0.42850018436044124,0.012288083041589815,528.0,216.0,zerotrade12M,1_clear,2006,0.7116404697946238,0.971323039078897,0.25968256928427325,0.03231029486506787
zerotrade1M,0.6309574388216717,0.2554212445252668,528.0,216.0,0.3471392386522442,0.020288647426827892,528.0,216.0,zerotrade1M,1_clear,2006,0.5951846688704199,0.9415547274183182,0.3463700585478984,0.048685603070988515
zerotrade6M,0.6254915067905752,0.2629122314043557,528.0,216.0,0.43333666515429403,0.010575675375775072,528.0,216.0,zerotrade6M,1_clear,2006,0.5796709810603663,0.9755947829339354,0.3959238018735691,-0.06018171439229947
