spec,observations,factors,post_sample_pct,post_sample_t,post_pub_pct,post_pub_t,postpub_minus_postsample_pct,contrast_t
exclude_publication_year,100228,141,0.04292062007854717,0.7621474993731779,-0.16421030941971293,-2.974768289431063,-0.20713092949826012,-2.863307588435182
exclude_publication_plus_minus_one,96844,141,0.09322592188926715,1.281483706041389,-0.16140254906626575,-2.846260725085628,-0.25462847095553287,-2.873856567543887
