signalname,is_mean,pp_mean,pp_n,Year,Predictability in OP,decay,year_z,is_z,cohort
AM,0.6229211249515869,0.4681645056669595,384,1992,1_clear,0.24843694183056486,-1.475699607584466,-0.1769043404663494,1990_2000
AOP,0.35601826581640983,0.0010844517083971948,312,1998,2_likely,0.9969539436244643,-0.7312884878328808,-0.7645756475553583,1990_2000
AbnormalAccruals,0.5331654459476943,-0.12792889754196307,276,2001,1_clear,1.2399422140243377,-0.35908292795708824,-0.3745299386700937,2001_plus
Accruals,0.6864724185765431,0.09953759198926482,336,1996,1_clear,0.8550013237302903,-0.9794255277500759,-0.03697600881494407,1990_2000
AccrualsBM,1.4453724700725552,0.8965328529637516,240,2004,1_clear,0.3797219252980879,0.013122631918704325,1.633983180823044,2001_plus
Activism1,0.2402973011435394,0.1498519794789564,14,2005,1_clear,0.37638925295526443,0.13719115187730185,-1.01937205845654,2001_plus
Activism2,0.4383249726952884,0.16078676931185512,14,2005,2_likely,0.6331790809837574,0.13719115187730185,-0.5833513243299367,2001_plus
AdExp,0.6469165823662144,0.3181104233841904,276,2001,2_likely,0.5082667038451172,-0.35908292795708824,-0.12407072950862302,2001_plus
AgeIPO,1.6107858657134897,0.7624571627173603,396,1991,2_likely,0.5266551694134505,-1.5997681275430635,1.9981932411473005,1990_2000
AnalystRevision,0.9612854729837959,0.5348684330241866,480,1984,1_clear,0.4435904337928107,-2.468247767253246,0.5681121023125546,through_1989
AnalystValue,0.21135496199705517,0.3870490310066111,312,1998,2_likely,-0.8312748721366848,-0.7312884878328808,-1.0830977987185186,1990_2000
AnnouncementReturn,1.1476451663392677,0.7998486989941243,336,1996,1_clear,0.30305226523502615,-0.9794255277500759,0.9784420813085827,1990_2000
AssetGrowth,1.4946683643990843,0.6665266413115017,192,2008,1_clear,0.5540638597917527,0.5093967117530944,1.742523729046699,2001_plus
BM,1.1743970284630216,0.6117616944075415,528,1980,1_clear,0.479084432623116,-2.9645218470876364,1.03734479157655,through_1989
BMdec,0.9691142196610789,0.617564125665052,384,1992,1_clear,0.36275403545205626,-1.475699607584466,0.5853495714337736,1990_2000
BPEBM,0.22106631004831703,-0.032297242165245356,204,2007,1_clear,1.146097531361456,0.3853281917944969,-1.061715185503458,2001_plus
Beta,0.6789863431325771,0.26265778163898956,612,1973,2_likely,0.6131619077532703,-3.833001486797819,-0.05345897851926742,through_1989
BetaLiquidityPS,0.37018126041975513,-0.006675714350313062,252,2003,1_clear,1.0180336366642204,-0.1109458880398932,-0.7333913223749858,2001_plus
BetaTailRisk,0.45652071654807447,0.27505540869466777,120,2014,1_clear,0.39749632661916073,1.2538078315046797,-0.5432876224719964,2001_plus
BidAskSpread,0.7102592008232415,0.0050656053784653215,456,1986,2_likely,0.9928679482467894,-2.220110727336051,0.01539813756795058,through_1989
BookLeverage,0.26886825967083333,-0.028544556880941555,384,1992,1_clear,1.1061655879942383,-1.475699607584466,-0.956464030431194,1990_2000
BrandInvest,0.5757106718677907,-0.42996135677780817,120,2014,2_likely,1.7468358288076808,1.2538078315046797,-0.2808531282834457,2001_plus
CBOperProf,0.4815079188202243,0.5679045131635518,96,2016,1_clear,-0.17942922840192072,1.5019448714218746,-0.488270370624819,2001_plus
CF,0.8275561872491719,0.3850356806983065,360,1994,1_clear,0.5347316754670403,-1.227562567667271,0.27366466027918374,1990_2000
CPVolSpread,0.9769581411100443,0.46289770915964407,157,2009,1_clear,0.5261847056889377,0.633465231711692,0.6026204526283523,2001_plus
