period,date,method,turnover,candidate_count,w_Cnsmr,w_Manuf,w_HiTec,w_Hlth,w_Other
confirmation,2015-01-02,localized,0.19911891147081823,64,0.39911891147081824,0.2,0.2,0.2,0.0008810885291818116
confirmation,2015-01-02,all_gene,0.159901238399929,64,0.19247782557192505,0.10749607887909729,0.16167465987219623,0.35990123839992894,0.1784501972768524
confirmation,2015-01-02,random,0.436421065758525,64,0.05418426814479417,0.05902969104396547,0.2304436882545338,0.6059773775039913,0.05036497505271543
confirmation,2015-01-02,min_variance,0.6461240008102332,1,0.8461240008102334,0.1538759991897667,0.0,1.1769643274642058e-17,0.0
confirmation,2015-01-02,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2015-02-02,localized,0.17398133429148888,64,0.5731002457623071,0.026018665708511135,0.2,0.2,0.0008810885291818116
confirmation,2015-02-02,all_gene,0.17209728646679653,64,0.1703093761287522,0.09202846178224837,0.10225716801845436,0.5319985248667255,0.10340646920381959
confirmation,2015-02-02,random,0.0,64,0.05418426814479417,0.05902969104396547,0.2304436882545338,0.6059773775039913,0.05036497505271543
confirmation,2015-02-02,min_variance,0.008813327347792143,1,0.8549373281580255,0.14506267184197447,0.0,0.0,0.0
confirmation,2015-02-02,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2015-03-02,localized,0.017111001712886154,64,0.5902112474751933,0.008907663995624981,0.2,0.2,0.0008810885291818116
confirmation,2015-03-02,all_gene,0.16495375286019892,64,0.16901054268037016,0.04712907296315331,0.041945615416194175,0.6969522777269244,0.0449624912133579
confirmation,2015-03-02,random,0.2870286539708372,64,0.011936530482219706,0.01095006140335332,0.033742401586883214,0.8829485628766703,0.060422443650873625
confirmation,2015-03-02,min_variance,0.05513255263105769,1,0.9100698807890832,0.08993011921091686,0.0,0.0,0.0
confirmation,2015-03-02,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2015-04-01,localized,0.008845338345123589,64,0.5902112474751933,6.232565050139256e-05,0.2,0.2,0.0097264268743054
confirmation,2015-04-01,all_gene,0.13570439164090517,64,0.09404854796707554,0.028214655720372715,0.02268695375116584,0.8326566693678296,0.02239317319355628
confirmation,2015-04-01,random,0.0,64,0.011936530482219706,0.01095006140335332,0.033742401586883214,0.8829485628766703,0.060422443650873625
confirmation,2015-04-01,min_variance,0.0068417196335535365,1,0.9032281611555297,0.0967718388444704,1.8120411484644056e-17,4.439253793018394e-18,0.0
confirmation,2015-04-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2015-05-01,localized,0.0,64,0.5902112474751933,6.232565050139256e-05,0.2,0.2,0.0097264268743054
confirmation,2015-05-01,all_gene,0.07128299477842372,64,0.0656125822150974,0.007949851888934096,0.013822932077043115,0.9039396641462533,0.008674969672672056
confirmation,2015-05-01,random,0.0,64,0.011936530482219706,0.01095006140335332,0.033742401586883214,0.8829485628766703,0.060422443650873625
confirmation,2015-05-01,min_variance,0.026168486106786657,1,0.8770596750487429,0.10439178119284173,2.379547285031141e-17,0.01854854375841517,3.9185004431754094e-18
confirmation,2015-05-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2015-06-01,localized,0.19517692291671618,64,0.7853881703919094,6.232565050139256e-05,0.0048230770832838055,0.2,0.0097264268743054
confirmation,2015-06-01,all_gene,0.055813579082342434,64,0.02587760742957847,0.0033860115335664982,0.00837731144607765,0.9597532432285957,0.002605826362181605
