period,date,method,net_return
confirmation,2015-02-13,localized,0.00329315488821341
confirmation,2015-02-17,localized,0.0010778772726553008
confirmation,2015-02-18,localized,0.0021956854702621423
confirmation,2015-02-19,localized,-0.00037223830606853737
confirmation,2015-02-20,localized,0.006690344411666902
confirmation,2015-02-23,localized,0.00044567183840710505
confirmation,2015-02-24,localized,0.002236822770475416
confirmation,2015-02-25,localized,0.001371206054069935
confirmation,2015-02-26,localized,0.0009637145920982302
confirmation,2015-02-27,localized,-0.0016527779931467953
confirmation,2015-02-02,all_gene,0.007970266064843409
confirmation,2015-02-03,all_gene,0.010090239016069116
confirmation,2015-02-04,all_gene,-0.008951878151958484
confirmation,2015-02-05,all_gene,0.014260718835633318
confirmation,2015-02-06,all_gene,-0.005421721464889744
confirmation,2015-02-09,all_gene,-0.007588261946048881
confirmation,2015-02-10,all_gene,0.01288783110883988
confirmation,2015-02-11,all_gene,0.00027980351759289657
confirmation,2015-02-12,all_gene,0.006624548381746814
confirmation,2015-02-13,all_gene,0.0049581103531486015
confirmation,2015-02-17,all_gene,0.004056875712767852
confirmation,2015-02-18,all_gene,0.0019523772591583362
confirmation,2015-02-19,all_gene,0.0002904014807175911
confirmation,2015-02-20,all_gene,0.0076779920082773465
confirmation,2015-02-23,all_gene,0.0006487241560931519
confirmation,2015-02-24,all_gene,0.0007487084210094631
confirmation,2015-02-25,all_gene,0.0025255614772068382
confirmation,2015-02-26,all_gene,0.0016180307091659802
confirmation,2015-02-27,all_gene,-0.00450872506059273
confirmation,2015-02-02,random,0.007252167794282485
confirmation,2015-02-03,random,0.009187163119719857
confirmation,2015-02-04,random,-0.009262012776337652
confirmation,2015-02-05,random,0.014913010753681222
confirmation,2015-02-06,random,-0.006091676088643508
confirmation,2015-02-09,random,-0.007440737978920988
confirmation,2015-02-10,random,0.013638767826946608
confirmation,2015-02-11,random,0.0004415476322940264
confirmation,2015-02-12,random,0.007217647357487566
confirmation,2015-02-13,random,0.005927728008338775
confirmation,2015-02-17,random,0.004414558396657754
confirmation,2015-02-18,random,0.0021101157697864313
confirmation,2015-02-19,random,0.0011283087748486268
confirmation,2015-02-20,random,0.007853645960989721
confirmation,2015-02-23,random,0.0007767388477242494
confirmation,2015-02-24,random,0.0001771315595140322
confirmation,2015-02-25,random,0.002345625977659584
confirmation,2015-02-26,random,0.0028501509655411263
confirmation,2015-02-27,random,-0.005130871313855463
confirmation,2015-02-02,min_variance,0.011592119108361831
confirmation,2015-02-03,min_variance,0.014541363496683451
confirmation,2015-02-04,min_variance,-0.0013666768558933241
confirmation,2015-02-05,min_variance,0.007302476305999005
confirmation,2015-02-06,min_variance,-0.0019574136341570314
confirmation,2015-02-09,min_variance,-0.006363268114184694
confirmation,2015-02-10,min_variance,0.01107005502992198
confirmation,2015-02-11,min_variance,0.0017379547549748221
confirmation,2015-02-12,min_variance,0.005883338427946662
confirmation,2015-02-13,min_variance,0.0017734637716306113
