period,method,cumulative_net_log_return,annualized_volatility,annualized_expected_shortfall_5pct,maximum_drawdown,turnover,months
confirmation,all_gene,0.9024872290414914,0.18038140482696097,0.4447522258377705,-0.2855593480071724,10.52606423477662,120
confirmation,equal_weight,1.1372763079423174,0.17453494718760915,0.4234643719677563,-0.3406018285744836,0.0,120
confirmation,localized,1.3510296229463616,0.1936884992005734,0.4676964810362265,-0.3043053367662236,12.192683474276087,120
confirmation,min_variance,0.9305423567839337,0.15663411282137327,0.3764615863155562,-0.30674489638714264,5.717324634235775,120
confirmation,random,1.1275642966721107,0.18630379998075938,0.44407096024134585,-0.3126123909284527,23.635231866597806,120
later_vintage,all_gene,0.13285910631104592,0.18728758454338482,0.4152582374335683,-0.19058696688429122,3.1823149871358023,18
later_vintage,equal_weight,0.2505801420918603,0.1570827165660741,0.3421039995247918,-0.1746893490008239,0.0,18
later_vintage,localized,0.18185034202010808,0.17411566914820936,0.38685091904863295,-0.17703426053415783,1.4023985161766737,18
later_vintage,min_variance,0.265751569978656,0.14760896142168403,0.322756121019767,-0.14883745855935804,1.5432155141652617,18
later_vintage,random,0.15700559575727902,0.18185374979241994,0.41344164315337023,-0.20185911211612195,5.6661077049194395,18
