comparator,mean_monthly_ce_difference,ci_low,ci_high,localized_win_fraction
all_gene,0.0036837662632533434,7.152592972754772e-05,0.007230576492184449,0.55
random,0.0019555294636507377,-0.0018212826426089238,0.005723130513905318,0.5416666666666666
min_variance,0.0037239537459369,0.00013433461504448206,0.007212145209521623,0.5416666666666666
equal_weight,0.0018986564466382662,-0.0012301148796368092,0.005098226306199257,0.5416666666666666
