period,method,month,month_return,month_variance,certainty_equivalent
confirmation,all_gene,2015-01,-0.01676144903569976,0.00011286817884838087,-0.01693075130397233
confirmation,all_gene,2015-02,0.05093640747726136,4.154801517165929e-05,0.05087408545450387
confirmation,all_gene,2015-03,0.0024745678913606906,8.903180678337224e-05,0.002341020181185632
confirmation,all_gene,2015-04,-0.012013326949754877,6.080953781351943e-05,-0.012104541256475155
confirmation,all_gene,2015-05,0.04462878630116873,5.599455363963391e-05,0.04454479447070928
confirmation,all_gene,2015-06,0.0012593695869418386,7.276803353756832e-05,0.001150217536635486
confirmation,all_gene,2015-07,0.03488983272335311,9.559835216549315e-05,0.03474643519510487
confirmation,all_gene,2015-08,-0.08379848163503523,0.00032263538275671124,-0.0842824347091703
confirmation,all_gene,2015-09,-0.06971254615950939,0.00035903742486986085,-0.07025110229681418
confirmation,all_gene,2015-10,0.07512848529879212,0.00018336908389053166,0.07485343167295633
confirmation,all_gene,2015-11,0.005769747588926455,0.00010819889779254279,0.005607449242237641
confirmation,all_gene,2015-12,0.0029372637035691707,0.00017455756188025623,0.002675427360748786
confirmation,all_gene,2016-01,-0.09722449770935926,0.00026912021178821156,-0.09762817802704157
confirmation,all_gene,2016-02,-0.00782497808574989,0.00013930206705421123,-0.008033931186331207
confirmation,all_gene,2016-03,0.04525243370510701,7.805175385474958e-05,0.04513535607432489
confirmation,all_gene,2016-04,0.018767452353863012,4.643433149581449e-05,0.01869780085661929
confirmation,all_gene,2016-05,0.011566506705905644,5.915610961907429e-05,0.011477772541477032
confirmation,all_gene,2016-06,0.014808691087051074,8.37813851406411e-05,0.014683019009340112
confirmation,all_gene,2016-07,0.027529914532162802,2.084402266492155e-05,0.02749864849816542
confirmation,all_gene,2016-08,-0.00981567566702446,1.4653492272146144e-05,-0.00983765590543268
confirmation,all_gene,2016-09,-0.013886438009809043,8.966456574257619e-05,-0.014020934858422908
confirmation,all_gene,2016-10,-0.0263414634050686,2.411836285187931e-05,-0.026377640949346418
confirmation,all_gene,2016-11,0.014421541060364973,5.010493048697326e-05,0.014346383664634513
confirmation,all_gene,2016-12,0.013330146213369254,3.5352991125755946e-05,0.01327711672668062
confirmation,all_gene,2017-01,0.014441306294926681,1.6485157994044777e-05,0.014416578557935614
confirmation,all_gene,2017-02,0.030486004800287958,1.9677999364076005e-05,0.030456487801241845
confirmation,all_gene,2017-03,0.007814174020779774,1.5908528552107813e-05,0.007790311227951612
confirmation,all_gene,2017-04,0.01747741824187221,1.596693010644392e-05,0.017453467846712544
confirmation,all_gene,2017-05,0.019311668344451194,1.603113654384567e-05,0.019287621639635426
confirmation,all_gene,2017-06,-0.00868002336074225,2.4448019959602754e-05,-0.008716695390681655
confirmation,all_gene,2017-07,0.008810393064207389,1.9559480048286235e-05,0.00878105384413496
