spec,observations,factors,post_sample_pct,post_sample_t,post_pub_pct,post_pub_t,postpub_minus_postsample_pct,contrast_t
usa,101920,141,0.027044928422861787,0.5552599233764293,-0.16433353199202239,-2.9747897598010336,-0.19137846041488418,-3.002729172792735
world_ex_us,56335,126,0.03818331113417996,0.6769209097456891,-0.03739656669641112,-0.5474404618803481,-0.07557987783059109,-1.9110929362959608
usa_minus_world_ex_us,56335,126,-0.040910501268167004,-0.5637561853445165,-0.13106761899893013,-1.4456241985481246,-0.09015711773076311,-1.4717130657834292
usa_significant,86133,117,0.023620585529439606,0.3867023232065334,-0.19706652093379734,-2.9485332426014117,-0.22068710646323697,-2.6217165657938057
