location,name,in_sample,post_pub,post_sample,postpub_minus_insample
usa,coskew_21d,1.9445851955272047e-05,0.0020215835554828307,0.0004676014105682418,0.002002137703527559
usa,cowc_gr1a,0.0040233579964693445,0.0015248132290627608,0.0010596562067260917,-0.0024985447674065837
usa,dbnetis_at,0.0026783839193318232,-1.9634945031006187e-05,0.003284238550907624,-0.0026980188643628295
usa,debt_gr3,0.002883652522637909,-0.0017866397120812766,0.005055714465551536,-0.004670292234719185
usa,debt_me,9.468580455064653e-05,-0.0013934960499041278,0.0027087381175438497,-0.0014881818544547744
usa,dgp_dsale,0.0023005279111650663,0.0007439728902848723,0.0008430511463929076,-0.001556555020880194
usa,dolvol_126d,0.0018034407252307738,0.0012915549408935379,-0.009960680529516413,-0.0005118857843372359
usa,dolvol_var_126d,-0.0014436013048438753,0.00018144670190797647,0.0025109962192974636,0.0016250480067518517
usa,dsale_dinv,0.004223446210839705,0.0007402611140177577,0.004090551305116359,-0.003483185096821947
usa,dsale_drec,-0.000485250352196573,0.0019791421968146953,-0.0037016181196373806,0.0024643925490112684
usa,dsale_dsga,-1.0741128791316907e-05,-0.0022523711655022018,0.00018397520527963917,-0.002241630036710885
usa,earnings_variability,0.0020848372715444423,-0.0015083826494834028,0.0008167255456033166,-0.003593219921027845
usa,ebit_bev,0.005450931435132322,0.003346039424698137,0.0035516260346102613,-0.0021048920104341845
usa,ebit_sale,0.0041940309923159565,-0.0004033529775574672,-0.0015199945561468029,-0.004597383969873424
usa,ebitda_mev,0.005589282585318869,-0.001848897395045313,0.00391898753582448,-0.007438179980364182
usa,emp_gr1,0.0014999502353098377,-0.004146470369614009,-0.00047289912240382074,-0.005646420604923846
usa,eq_dur,0.003168479842557396,-0.002839236677692144,0.015018990323142986,-0.006007716520249539
usa,eqnetis_at,0.0038920950985423383,0.0031223900026587817,0.004357646146947486,-0.0007697050958835566
usa,eqnpo_12m,0.004466088379606704,-0.0004332962641121101,-0.002085675546152928,-0.004899384643718814
usa,eqnpo_me,0.004978035850409388,0.0014834920827327153,-0.003096920189397011,-0.0034945437676766732
usa,eqpo_me,0.004197273146798225,9.718160210716907e-05,-0.003400960988504448,-0.004100091544691056
usa,f_score,0.004526652197876674,0.0015114996666332674,0.006812621469526508,-0.003015152531243407
usa,fcf_me,0.0025648475695039617,0.005164181150041099,0.005549236607320065,0.002599333580537137
usa,fnl_gr1a,0.0034170163037309698,0.0009845561682176069,0.0044167151130522836,-0.0024324601355133627
usa,gp_at,0.00198591220178137,0.0051070538019277875,0.0028890835588645976,0.0031211416001464174
usa,inv_gr1,0.003933958874545245,0.0018471701499347675,0.0003495385340378957,-0.0020867887246104775
usa,inv_gr1a,0.004380396014674298,0.0011573598959202212,0.0035421654132525822,-0.003223036118754077
usa,iskew_ff3_21d,-0.0007657952979493569,-0.002553285753796403,0.0008420030722235605,-0.0017874904558470462
usa,ival_me,0.004983227927002924,0.0021676349558041883,0.0021902340726388564,-0.0028155929711987356
usa,ivol_capm_252d,0.0014487694902310826,-0.0018549156663686752,0.0019392958058709183,-0.003303685156599758
usa,ivol_ff3_21d,0.0015009333010643198,0.0006508829899702193,0.0012848772212871225,-0.0008500503110941005
usa,kz_index,-0.0007292912776416899,-0.0010344370048891438,-0.0018858349822867733,-0.00030514572724745393
usa,lnoa_gr1a,0.00368431824314865,-0.000638940896963706,0.009295712947803758,-0.004323259140112356
usa,lti_gr1a,0.0002862903951379257,0.0006020299198454015,-0.00037530823644990824,0.00031573952470747576
usa,market_equity,0.003693649176716285,-0.0007450832008571976,0.012685947125370326,-0.004438732377573483
usa,mispricing_mgmt,0.004041230502888175,0.00024296294340598202,0.003656871579378447,-0.0037982675594821933
