name,contrast_pct,cluster
age,-0.021564736112195382,12
aliq_at,-0.6944061921775453,2
aliq_mat,0.5218667506873393,8
ami_126d,-0.24282435243459832,12
at_be,-0.21122094532213337,9
at_gr1,-0.6635742061575016,2
at_me,-0.18852022987654746,2
at_turnover,0.14807196152152222,8
be_gr1a,-0.327222839261378,2
be_me,-0.9237515808394541,2
beta_60m,0.18875255170102656,3
beta_dimson_21d,-0.030005894404848302,3
betabab_1260d,-0.5631599850205524,2
betadown_252d,-0.32962537689761134,2
bev_mev,-0.5441181330140306,2
bidaskhl_21d,-0.2177419442033998,12
capex_abn,-0.06230245694654908,7
capx_gr1,-0.13809239081661878,2
capx_gr2,-0.31047523425059137,2
capx_gr3,-0.29450688370524203,2
cash_at,0.4744959221645419,12
chcsho_12m,-0.43139588633686066,2
coa_gr1a,-0.3806734136805603,2
col_gr1a,-0.09917978021754663,2
cop_atl1,0.4262569078469839,8
corr_1260d,-1.0804249918269404,2
coskew_21d,0.2002137703527559,6
cowc_gr1a,-0.24985447674065836,2
dbnetis_at,-0.26980188643628294,7
debt_gr3,-0.46702922347191855,9
debt_me,-0.14881818544547745,2
dgp_dsale,-0.1556555020880194,9
dolvol_126d,-0.05118857843372359,12
dolvol_var_126d,0.16250480067518516,8
dsale_dinv,-0.3483185096821947,2
dsale_drec,0.24643925490112684,9
dsale_dsga,-0.2241630036710885,7
earnings_variability,-0.3593219921027845,2
ebit_bev,-0.21048920104341845,8
ebit_sale,-0.45973839698734237,2
ebitda_mev,-0.7438179980364181,2
emp_gr1,-0.5646420604923846,2
eq_dur,-0.600771652024954,2
eqnetis_at,-0.07697050958835566,2
eqnpo_12m,-0.4899384643718814,2
eqnpo_me,-0.34945437676766733,2
eqpo_me,-0.41000915446910563,2
f_score,-0.3015152531243407,2
fcf_me,0.2599333580537137,7
fnl_gr1a,-0.24324601355133627,7
gp_at,0.31211416001464176,8
inv_gr1,-0.20867887246104774,2
inv_gr1a,-0.32230361187540774,2
iskew_ff3_21d,-0.1787490455847046,5
ival_me,-0.28155929711987354,2
ivol_capm_252d,-0.3303685156599758,2
ivol_ff3_21d,-0.08500503110941006,2
kz_index,-0.030514572724745392,2
lnoa_gr1a,-0.4323259140112356,2
lti_gr1a,0.031573952470747575,9
market_equity,-0.44387323775734827,12
mispricing_mgmt,-0.37982675594821935,2
mispricing_perf,0.4838244408161038,8
ncoa_gr1a,-0.4114918154879823,2
ncol_gr1a,-0.3785996050534881,1
netdebt_me,0.45357149986453293,12
netis_at,-0.05235187249030462,2
nfna_gr1a,-0.3446167742392906,7
ni_ar1,0.04047286731370841,12
ni_be,0.3552223114424235,8
ni_inc8q,-0.16246431071473014,8
ni_ivol,0.4629254226963133,12
ni_me,-0.26353425106585066,2
niq_at,0.15407996500724513,8
niq_be,0.1288359937072184,8
niq_su,-0.30800397678771146,7
nncoa_gr1a,-0.37595051988917694,2
noa_at,-0.03437033486460846,2
noa_gr1a,-0.4601419644087569,2
o_score,0.03136855028503126,8
oaccruals_at,-0.10103525940792914,2
oaccruals_ni,-0.10095426969168218,1
ocf_at,0.33653728201380684,8
ocf_at_chg1,0.5835405756727418,7
ocf_me,-0.4396735413495046,2
ocfq_saleq_std,-0.04861038066457905,2
op_atl1,0.40411767072334015,8
ope_be,0.2534943102601719,8
opex_at,-0.07305979381497425,8
pi_nix,0.03802766763731609,9
ppeinv_gr1a,-0.5348133804124835,2
prc,-0.4673152560887601,12
prc_highprc_252d,0.10031290962484926,7
qmj,0.025949152582421593,8
qmj_growth,0.17279731367110573,2
qmj_prof,0.16120717302199827,8
qmj_safety,-0.5210357159086748,8
rd5_at,0.6852125962082244,12
rd_me,0.032674160599493365,1
rd_sale,0.5009054275685056,12
resff3_12_1,-0.8032351682756671,7
resff3_6_1,-0.32694533342364307,7
ret_12_1,-0.2598489470091024,7
ret_12_7,-0.7567368115665613,7
ret_1_0,-0.29077816131014855,5
ret_3_1,-0.06920794070717928,7
ret_60_12,-0.33444969162322574,2
ret_6_1,-0.15791632563876898,7
ret_9_1,-0.04083265325146926,7
rmax1_21d,-0.2764889415978568,2
rmax5_21d,-0.6159156962019179,2
rmax5_rvol_21d,-0.5021647882641754,5
rskew_21d,-0.08122386000851212,5
rvol_21d,0.062166261831991504,2
sale_bev,0.1887286500024616,8
sale_emp_gr1,-0.10105561243354583,7
sale_gr1,-0.2480352962627662,1
sale_gr3,-0.4732327966931583,1
sale_me,-0.12986014690444533,2
saleq_su,0.1880853318530767,8
seas_11_15an,-0.10512972925834796,10
seas_11_15na,-0.24790842877035263,13
seas_16_20an,0.18680472297184003,11
seas_16_20na,-0.15076941823153991,4
seas_1_1an,-0.28456848419735026,7
seas_1_1na,-0.22132728260230972,7
seas_2_5an,-0.4093769947273806,10
seas_2_5na,-0.9310065466954741,2
seas_6_10an,-0.005891693075315381,10
seas_6_10na,-0.3487976641667174,2
sti_gr1a,0.06903821957441877,3
taccruals_at,-0.12500638091007818,2
taccruals_ni,0.038561265192223006,1
tangibility,-0.016358600353919776,9
tax_gr1a,0.06091308102636006,8
turnover_126d,-0.11985406111515301,2
turnover_var_126d,0.25080216658417837,8
z_score,0.13029781520988437,8
zero_trades_126d,-0.220606516725697,2
zero_trades_21d,0.09532578157616109,2
zero_trades_252d,-0.3826916714410412,2
