spec,factors,observations,post_sample,post_sample_t,post_pub,post_pub_t,postpub_minus_postsample,contrast_t
full,212,136338,-0.24664596160965122,-3.849394595278405,-0.3694664053830956,-6.491701881387651,-0.1228204437734444,-1.7060183688527741
floor_1986,199,89864,-0.2723078906138195,-4.630550187199332,-0.41501745872320295,-5.673746150177694,-0.14270956810938346,-1.8184833322566998
floor_1990,187,76323,-0.3118078219602812,-5.1553164752669325,-0.47307188325176386,-5.422813466736934,-0.16126406129148269,-1.8315579683570944
floor_1986_clear,156,71164,-0.32181292966902536,-4.659852015584046,-0.47240238729201417,-5.843640116568732,-0.1505894576229888,-1.6399601016134795
