tercile,n,is_months,retention,is_mean,pp_mean
short,70,176.25714285714287,0.40085096864252084,0.7589447900994031,0.32252011517888024
middle,74,345.64864864864865,0.4243646951956377,0.6981632002700049,0.3523170035051174
long,64,539.125,0.31982731402982606,0.648266863275671,0.22481184314458505
