spec,n_signals,n_rows,beta_ps_placebo,t_beta_ps_placebo,beta_pp_placebo,t_beta_pp_placebo,gamma_ps_extra_pred,t_gamma_ps_extra_pred,gamma_pp_extra_pred,t_gamma_pp_extra_pred
did_primary,326,206050,0.08185119650365599,1.1925544663802734,-0.10998935432796313,-2.549759985143716,-0.32849715811326746,-2.8973140708282723,-0.2594770510551181,-3.3161177325053526
did_winsorized,326,206050,0.06819100050925231,1.1204534695124548,-0.10532715058649636,-2.7024742732899765,-0.29907752424809636,-2.918843714176682,-0.2369501782838892,-3.29564866003705
