signalname,in_sample,post_sample,post_pub
AMq,0.9791406973440497,2.5041367596236834,0.6498902190389444
AbnormalAccrualsPercent,-0.2819854869560282,-0.21442100956505133,-0.04395548360270849
AccrualQuality,0.1599779863582622,0.8493861971404641,-0.33108599882859524
AccrualQualityJune,0.20428218703993947,0.846854573854318,-0.38181571761656574
AssetGrowth_q,-0.8197581972438491,0.33253440280377145,-0.48555482436257275
AssetLiquidityBook,0.34149607328058285,-0.1958118013940218,-0.13849953551040642
AssetLiquidityBookQuart,0.2831212094436782,-0.06679916452504565,0.050026264693786814
AssetLiquidityMarket,1.4098619959089567,-0.06316351072835878,0.49106852888426894
AssetLiquidityMarketQuart,1.2857865448915107,0.13795732027101396,0.5370040997131807
AssetTurnover,0.39999282202121644,0.21262865987455845,0.4877592358817459
AssetTurnover_q,0.5702518708616428,0.6391919098895621,0.7627383446758044
BMq,1.629231518453391,0.787461307933218,1.0228356242750105
BetaBDLeverage,0.37439434583610876,-0.022240744263379967,-0.38634863466745273
BetaDimson,-0.23481996525951881,0.43323034000624905,-0.12646948741497502
BetaSquared,-0.6719373898499962,1.9497225457501903,-0.16953501745124486
BidAskTAQ,0.01944728117595685,-0.0464724449205696,-0.41821905372640655
BookLeverageQuarterly,-0.14143290625156654,0.4827827325323935,0.13333133660417026
BrandCapital,0.2107901072690474,0.101432848734601,-0.4002681524277618
CBOperProfLagAT,0.49966787614021096,1.3818644571683152,1.0212284974629464
CBOperProfLagAT_q,0.852692709585899,1.2717348934407275,1.0328032094513002
CFq,1.2927014256661944,1.1729378801472419,0.9300921695520069
CapTurnover,0.2562670295631399,-0.5309722367193381,0.3648294436495809
CapTurnover_q,0.8238060834579445,0.19862834538991414,0.6549511829693839
ChNCOA,-1.0199307896456655,-0.5244961853277812,-0.2984117299771046
ChNCOL,-0.5379448751042104,-0.33509478562862793,-0.43199007291095165
ChPM,0.09259046359063952,0.17796818320409166,-0.08467155017404249
ChangeRoA,1.252199983948316,0.13836108206799289,0.5101763989807095
ChangeRoE,1.0490092017724575,0.12651028056548289,0.43591749068479835
DelSTI,-0.03657539082099228,0.5409524595945557,0.12850596262402136
DelayAcct,-0.20041118596451074,0.011904300015475317,-0.49491413995828737
DelayNonAcct,0.27890158717709485,-0.023620709885161767,-0.22468397306930424
DivYield,0.3748350965867236,0.8032767208697932,0.1254500876085636
DivYieldAnn,0.2099045626381031,0.8194280020620952,0.12397720974856838
DownsideBeta,0.07688165237874983,0.22586454945256473,0.5738833596158355
EBM_q,0.7455721723156337,0.7387332284397014,0.2575481306115299
EPq,1.3186771172600888,1.5684131340850984,0.9725559216702303
ETR,0.010201712186691005,0.10864957419435713,-0.05932799420309131
EarningsConservatism,-0.01897388188947818,0.18064320375178433,-0.09297423020470381
EarningsPersistence,-0.19619904506075914,-0.3603182325181262,-0.07666603633874294
EarningsPredictability,-0.5991595559849213,-0.11946803142842402,-0.7281437423494501
EarningsSmoothness,0.0025625728670327914,0.4549875419797915,0.2178198707752487
