spec,n_signals,n_rows,mean_in_sample,beta_post_sample,t_post_sample,beta_post_pub,t_post_pub
primary_placebo,114,69712,0.2088866316195968,0.08185119650370393,1.1925388961861194,-0.10998935432795516,-2.5497266950404307
R1a_indirect,100,60996,0.23239148211456576,0.039242574122667274,0.6917674624741906,-0.11858983066587044,-2.7372315144937582
R1b_4not_descriptive,14,8716,0.05748178715221946,0.3685250854535987,1.74916637140802,-0.061572532213714046,-0.5630352913616744
R2_winsorized_1_99,114,69712,0.21017876194341847,0.0681910005092679,1.1204388406807886,-0.10532715058649342,-2.702438989322904
R3_end_2019,114,62998,0.2088866316195968,0.07014201606017834,1.0379891149466982,-0.14818732278027139,-3.412942175957355
R4_selected_positive_IS,78,47395,0.48617282722712035,-0.03149018490677372,-0.519242368578175,-0.26123747541294745,-5.227561039001287
R5_balanced_36m,104,62607,0.20096174419039287,0.0447442087190648,0.6475996408675618,-0.14362229755103015,-3.199304825220994
benchmark_predictors,212,136338,0.6700566750802432,-0.24664596160965122,-3.849394595278405,-0.3694664053830956,-6.491701881387651
