location,name,in_sample,post_pub,post_sample,change
world,age,-0.0007459710923400684,-0.005052946713764441,-0.002319159894001037,-0.004306975621424372
world,aliq_at,0.0005224485129162599,-0.003282912467050691,0.0012330320527059895,-0.0038053609799669507
world,aliq_mat,-0.004939557316651848,-0.0008525553491809259,0.0014819256517103394,0.004087001967470922
world,ami_126d,0.001778631927402695,0.0006305857798142385,0.001906326216780615,-0.0011480461475884564
world,at_be,0.000643311428463386,-0.0005688272738910591,-0.0006070957670636683,-0.0012121387023544452
world,at_gr1,0.0032286190057426445,-0.0007617797347491971,0.0007299618496379218,-0.0039903987404918415
world,at_me,0.0033836060791507653,0.0011912134721822195,0.0026206693010562255,-0.0021923926069685458
world,at_turnover,0.0027547431305168938,0.0019708618768397163,-0.00024837662430084444,-0.0007838812536771775
world,be_gr1a,0.0015846874585882383,-0.0007220992803419025,0.0014821698185793813,-0.002306786738930141
world,betabab_1260d,0.0003176697970725641,-0.0027056033971343675,0.0050342927946435455,-0.0030232731942069317
world,betadown_252d,0.00028178788695836394,-0.0014884643443377758,0.0038910119163556704,-0.0017702522312961397
world,bev_mev,0.0038077529086802523,-0.00033329980442332917,0.004885730609446756,-0.0041410527131035815
world,bidaskhl_21d,0.0003497182249692924,-0.0017372213372633476,-0.0025758776917326528,-0.00208693956223264
world,capex_abn,0.002123143873004413,0.0006037560085538448,0.005653513166726584,-0.0015193878644505685
world,capx_gr1,0.0025788664972618463,0.0015044714952761377,0.0055019029857635285,-0.0010743950019857086
world,capx_gr2,0.0029510643265993597,0.0004662435146660597,0.005038477696909244,-0.0024848208119333
world,capx_gr3,0.0017101505221147463,6.276230339611665e-05,0.004812826317717772,-0.0016473882187186296
world,cash_at,0.0010749359125024273,0.0035376187213439145,0.0006794088095556471,0.002462682808841487
world,chcsho_12m,0.003436851971479275,0.0006754579145105083,0.0023968556816588047,-0.002761394056968767
world,coa_gr1a,0.0020657015488809364,0.0005841867902963672,-2.3847997045005972e-05,-0.0014815147585845693
world,col_gr1a,-0.0008684709603528695,-0.0015044938912376633,-0.0011479118213051644,-0.0006360229308847938
world,cop_atl1,0.002743385988978282,0.004497893985516448,0.0011072215941431835,0.001754507996538166
world,corr_1260d,0.001004729253561286,-0.007260181835166915,-0.0006929222702427535,-0.008264911088728202
world,coskew_21d,0.00037581961564405164,0.0015792974412670963,0.001175808993272757,0.0012034778256230446
world,cowc_gr1a,0.0032937649261999507,0.002047471898133068,0.0009816417825616313,-0.001246293028066883
world,dbnetis_at,0.0017792652091947593,0.0011451684158713886,0.0027078836734392066,-0.0006340967933233708
world,debt_gr3,0.0015258340719932673,-0.00016930367170956426,0.0065776290322219245,-0.0016951377437028315
world,dgp_dsale,0.0013135050189180876,0.0007423082158249712,-0.0011508172376522032,-0.0005711968030931164
world,dolvol_126d,0.0020152870987787466,0.002121216194760532,-0.008430987300068441,0.00010592909598178529
