omitted_cluster,omitted_factors,retained_mean_pct
1,6,-0.1519286732831794
2,59,-0.01976482231673923
3,3,-0.15846190081166087
4,1,-0.15349420012076473
5,4,-0.15027037649613914
6,1,-0.15600122289636684
7,19,-0.1484420951455086
8,24,-0.2170699734097282
9,7,-0.15750547790232688
10,3,-0.15304028273969247
11,1,-0.15590544398650316
12,12,-0.17684521756530547
13,1,-0.1528003500454875
