cluster,factors,mean_pct,median_pct,negative_factor_share
1,6,-0.18826442365156307,-0.17449478297722418,0.6666666666666666
2,59,-0.33930918652823705,-0.3303685156599758,0.9491525423728814
3,3,0.07592829229019901,0.06903821957441877,0.3333333333333333
4,1,-0.15076941823153991,-0.15076941823153991,1.0
5,4,-0.2632289637918852,-0.23476360344742658,1.0
6,1,0.2002137703527559,0.2002137703527559,0.0
7,19,-0.18579062249402903,-0.2241630036710885,0.8421052631578947
8,24,0.15655122724164985,0.1618559868485917,0.16666666666666666
9,7,-0.07631762803240008,-0.016358600353919776,0.5714285714285714
10,3,-0.173466139020348,-0.10512972925834796,1.0
11,1,0.18680472297184003,0.18680472297184003,0.0
12,12,0.09775630256548341,0.009454065600756513,0.5
13,1,-0.24790842877035263,-0.24790842877035263,1.0
