name,file_time,size,total_rows,plex_orders,plex_buy_orders,plex_sell_orders,plex_buy_volume,plex_sell_volume,distinct_plex_regions,global_region_only,etag,sha256
market-orders-2025-07-08_12-45-07.v3.csv.bz2,2025-07-08T12:45:07Z,19469251,1518834,330,267,63,7060749905,94677,1,True,6e240ab12c81b1757d8ee6cfbdee8965,15f58af581f08d42eb1f8b1a87e8fdebd89be787620585b13066df591027bd5b
market-orders-2025-07-08_14-15-10.v3.csv.bz2,2025-07-08T14:15:10Z,19463028,1518959,322,253,69,7060748199,107872,1,True,3edaaaf5bb9df24c5cf8ba345879437f,83da2c825fa489730a0e7c8b6a6a1ef3aec7132e1910f2d8592c8d82567b5b60
