name,file_time,size,total_rows,plex_orders,plex_buy_orders,plex_sell_orders,plex_buy_volume,plex_sell_volume,distinct_plex_regions,global_region_only,etag,sha256
market-orders-2025-07-07_23-45-07.v3.csv.bz2,2025-07-07T23:45:07Z,19434597,1516734,295,232,63,6790101477,95775,1,True,3dbcac8f20881a45010f869b28923280,bd8cf89b5968d82c29390b167be937f0d02a23a6d6e0548023be9105cfb7ad5c
market-orders-2025-07-08_00-15-06.v3.csv.bz2,2025-07-08T00:15:06Z,19437598,1516757,286,224,62,6790086522,94763,1,True,ee5499936b9d0b7fae69b862a1a1c9df,b5aad71b884f867a30c931b306c39c94a27fe03a02e2e37a3071f9fc8e662d42
