date,index_url,index_retrieved_utc,index_sha256,file_count,median_size,invalid_below_half_median,selected_offset_seconds,selected_name,selected_url,selected_size,selected_last_modified,selected_etag,selected_file_time
2025-06-21,https://data.everef.net/market-orders/history/2025/2025-06-21/index.json,2026-08-04T00:48:45.323979+00:00,bda449b4bc6f0768f0687bbbc5f64d17eb861a2a4c3799740be66783d19cea60,48,19214730.5,0,7,market-orders-2025-06-21_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-06-21/market-orders-2025-06-21_12-15-07.v3.csv.bz2,19229218,2025-06-21T12:20:38.903Z,5bef8861a84035a60358ad8f1f09b929,2025-06-21T12:15:07Z
2025-06-22,https://data.everef.net/market-orders/history/2025/2025-06-22/index.json,2026-08-04T00:48:45.551540+00:00,70512f6c211faab9bea7339aee8e94bebee130eb40827ea777620f1433a100ce,48,19240900.5,0,8,market-orders-2025-06-22_12-15-08.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-06-22/market-orders-2025-06-22_12-15-08.v3.csv.bz2,19239231,2025-06-22T12:20:44.623Z,ee98be9503c72add0fc2786367034566,2025-06-22T12:15:08Z
2025-06-23,https://data.everef.net/market-orders/history/2025/2025-06-23/index.json,2026-08-04T00:48:45.387259+00:00,f19053a72891997b67a2db6203e41a0e20934f7a01e2297fc28f84c2ab6345bb,48,19273280.5,0,8,market-orders-2025-06-23_12-15-08.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-06-23/market-orders-2025-06-23_12-15-08.v3.csv.bz2,19284201,2025-06-23T12:20:51.568Z,b07e5e499e34e5f59abb18e99879f8d6,2025-06-23T12:15:08Z
2025-06-24,https://data.everef.net/market-orders/history/2025/2025-06-24/index.json,2026-08-04T00:48:45.616531+00:00,ba43470ac9a2bdd62ee147c310c1998de49ffe1214dde3fae545a4b7d50d4f83,48,19303802.0,0,7,market-orders-2025-06-24_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-06-24/market-orders-2025-06-24_12-15-07.v3.csv.bz2,19301537,2025-06-24T12:20:32.377Z,a9597e76c03698040d1306be23b9ddea,2025-06-24T12:15:07Z
2025-06-25,https://data.everef.net/market-orders/history/2025/2025-06-25/index.json,2026-08-04T00:48:45.390313+00:00,97249fb408ceb4f69b927bde75ca5d6077c8333d0e7d457e8d721467a1f2cb1e,48,19356320.5,0,9,market-orders-2025-06-25_12-15-09.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-06-25/market-orders-2025-06-25_12-15-09.v3.csv.bz2,19362126,2025-06-25T12:21:44.792Z,441fca7c8125694607bba95a18bfd64b,2025-06-25T12:15:09Z
2025-06-26,https://data.everef.net/market-orders/history/2025/2025-06-26/index.json,2026-08-04T00:48:45.631164+00:00,1a2f3cd4f6a59372f8be1f827d2c5086c4d51aae1199501e7e9c6c610e6a587f,48,19398585.5,0,9,market-orders-2025-06-26_12-15-09.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-06-26/market-orders-2025-06-26_12-15-09.v3.csv.bz2,19392198,2025-06-26T12:20:46.808Z,e129b9b532a1d2b5060a7e0949e2e0de,2025-06-26T12:15:09Z
2025-06-27,https://data.everef.net/market-orders/history/2025/2025-06-27/index.json,2026-08-04T00:48:45.707380+00:00,ecd0c66254c2ea35da4438bfd09f8657c9c0848de357c79bd8646204c73ef4cd,48,19398163.5,0,8,market-orders-2025-06-27_12-15-08.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-06-27/market-orders-2025-06-27_12-15-08.v3.csv.bz2,19388233,2025-06-27T12:21:08.674Z,1acd7696396231a6b3d547f6f910eb1d,2025-06-27T12:15:08Z
2025-06-28,https://data.everef.net/market-orders/history/2025/2025-06-28/index.json,2026-08-04T00:48:45.704854+00:00,45d50a28c720a1947da7be70c782b8114f4acc9aba1a815913271c60080240d5,48,19398447.5,0,7,market-orders-2025-06-28_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-06-28/market-orders-2025-06-28_12-15-07.v3.csv.bz2,19394350,2025-06-28T12:20:48.247Z,ea4578b0ccc8f0d55a61a68231dd65b3,2025-06-28T12:15:07Z
2025-06-29,https://data.everef.net/market-orders/history/2025/2025-06-29/index.json,2026-08-04T00:48:45.950368+00:00,74e5be9de0a9bbfc629c2a2d7b80efc40363010f5e36d1e2ce2523472ce8f4d7,48,19381616.0,0,8,market-orders-2025-06-29_12-15-08.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-06-29/market-orders-2025-06-29_12-15-08.v3.csv.bz2,19376193,2025-06-29T12:20:40.616Z,ff9aad855fc32f121154d2df2a2ebce1,2025-06-29T12:15:08Z
2025-06-30,https://data.everef.net/market-orders/history/2025/2025-06-30/index.json,2026-08-04T00:48:46.150977+00:00,013e4c1477d24489e4e4a797943d7c90608ea38e83626895177c07bfca4dea4f,48,19445938.5,0,9,market-orders-2025-06-30_12-15-09.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-06-30/market-orders-2025-06-30_12-15-09.v3.csv.bz2,19441707,2025-06-30T12:21:00.525Z,cf2461100e9c26bbfc3fc2f4a11b6915,2025-06-30T12:15:09Z
