name,file_time,size,total_rows,plex_orders,plex_buy_orders,plex_sell_orders,plex_buy_volume,plex_sell_volume,distinct_plex_regions,global_region_only,etag,sha256
market-orders-2025-07-08_10-45-05.v3.csv.bz2,2025-07-08T10:45:05Z,19472148,1518708,320,259,61,7060824541,89820,1,True,6928c1be01de0decff9cec4865c20b20,74286545f0d2205dd0b2cec59175f74801c7f2f0467b29da2b9914bf01eb8422
market-orders-2025-07-08_11-15-06.v3.csv.bz2,2025-07-08T11:15:06Z,19470167,1518787,317,257,60,7060820130,89584,1,True,b6539f1a079443dcbca822238f892a18,53f88a1a7c0ce1b76353fe8a3ded3b3187d912573cf625c03fc5b7dc0fdbd2c2
