name,in_sample,post_pub,post_sample,significance,postpub_minus_insample
age,-0.005497677376291449,-0.007815070202534602,-0.007579916592557118,1.0,-0.0023173928262431535
aliq_at,-0.00041497427671183484,-0.0016405832003936428,0.0010271323819947594,0.0,-0.001225608923681808
aliq_mat,-0.006059620346770292,-0.002822205460153007,0.0001700560875586845,0.0,0.0032374148866172853
ami_126d,-0.002833359285535872,0.0015607399467165808,0.0016076290024826453,1.0,0.004394099232252453
at_be,-0.003170001042541228,-0.0002522110494367939,0.0019636337213979034,0.0,0.002917789993104434
at_gr1,-0.001050402168478592,0.00018695009243189755,0.002305997415458162,1.0,0.0012373522609104896
at_me,0.010331386461512743,0.0020195407596657086,0.0020492735167124544,0.0,-0.008311845701847034
at_turnover,0.004480731354523783,0.0009343084612534696,0.0007269272253089806,0.0,-0.003546422893270313
be_gr1a,0.0019124061537608456,-0.00021519939429390374,0.001947612010306152,1.0,-0.0021276055480547494
betabab_1260d,0.004282880602740378,-0.00022077064037692213,0.006942158900634009,1.0,-0.0045036512431173
betadown_252d,0.002093382600968309,0.00011130828476313729,0.0049091910992864135,1.0,-0.0019820743162051718
bev_mev,0.005479541780233404,0.0015433525225259687,0.006028444640254594,1.0,-0.003936189257707435
bidaskhl_21d,-0.002771071953876206,-0.001823945022336469,-0.0031726252848292666,1.0,0.0009471269315397368
capex_abn,0.004359083592023502,-0.00018049427752699803,0.004669542767757749,1.0,-0.0045395778695505
capx_gr1,-0.0035606748754336667,0.0013214901602889826,0.0051007030632272835,0.0,0.00488216503572265
capx_gr2,-0.00014767780883288292,0.0006632338255322184,0.004072333681740582,1.0,0.0008109116343651013
capx_gr3,0.003993990967397508,0.0010009728984714966,0.0038078802596396063,1.0,-0.0029930180689260112
cash_at,0.00025061816198400713,0.0014561375206495351,0.001192984850647511,0.0,0.001205519358665528
chcsho_12m,0.002489163671271551,0.00152949410607309,0.0025016467458270518,1.0,-0.000959669565198461
coa_gr1a,-0.0010018142624247282,0.0015017838395144395,0.0013406342202509167,1.0,0.0025035981019391677
col_gr1a,0.0011851754995099452,-0.0010261228630058959,-0.0005870834190473646,1.0,-0.002211298362515841
cop_atl1,0.002387835802792106,0.0025160504267123223,0.0012220680022673,1.0,0.00012821462392021647
corr_1260d,0.0017519231318630284,-0.005146687001620907,0.0004191915289423884,1.0,-0.006898610133483935
coskew_21d,0.0019962443182180776,0.0013020712804533957,0.0016599561340245369,1.0,-0.000694173037764682
cowc_gr1a,0.0013073687294871189,0.002530919235095754,0.0008013023239313564,1.0,0.0012235505056086352
dbnetis_at,-0.001180826247042292,0.001631420494739294,0.0021682081854560785,1.0,0.002812246741781586
debt_gr3,-0.002523604228694782,0.0010490557972655094,0.007349467789081408,1.0,0.0035726600259602913
dgp_dsale,-0.010729379657007695,0.0007379958033040555,-0.002872163804127535,0.0,0.01146737546031175
dolvol_126d,0.0015220341805672942,0.0025723674519990865,-0.006743903498712141,1.0,0.0010503332714317923
dolvol_var_126d,0.0025813266726513384,-0.0003316321823314918,0.0026758574885171558,1.0,-0.0029129588549828304
dsale_dinv,-0.03733103297068467,0.0013447940755477038,0.004561628323992185,1.0,0.038675827046232375
dsale_drec,0.00888981138084962,-0.000748212544994009,-0.001784380836149644,0.0,-0.00963802392584363
earnings_variability,-0.0010722556634466037,0.0007466662425604536,-0.0010716437864602443,0.0,0.0018189219060070574
ebit_bev,9.486368023720943e-05,0.002470103866877381,0.0006063449910663467,1.0,0.0023752401866401715
ebit_sale,0.00130366905890753,0.0003844433182448235,-0.0024136335339643386,1.0,-0.0009192257406627066
