seed,family,method,regret,recovery_days,annual_return,annual_volatility,annual_es_5,annual_turnover,genome_diversity,evaluated_candidates
10023,confirmation,static,0.3596729007329866,27.0,0.0560861675321376,0.0822263369446715,2.879144451078263,17.13358590897752,0.8301906517933283,0
10023,confirmation,random,0.3513170977077007,27.0,0.06444197055742348,0.09971283528350043,3.458556121152223,14.519670826734082,0.7397078197024962,576
10023,confirmation,evolution,0.38537431680330175,27.0,0.03038475146182242,0.052067191293226976,1.7458784744624298,10.560362799477353,0.30751637192876774,576
10024,confirmation,static,0.28574613697049933,2.0,-0.04190801610903084,0.05637265603483788,2.1011460759203,18.18092202240527,0.8083068378672564,0
10024,confirmation,random,0.29642513254769387,2.0,-0.052587011686225364,0.05240957844596931,1.9630651653504816,16.914665006310646,0.8384094940518926,576
10024,confirmation,evolution,0.30739427358594706,2.0,-0.06355615272447857,0.05183462054927446,2.030114648880175,14.74879057970721,0.2364658602092375,576
10025,confirmation,static,0.3452276298516606,1.0,0.04787417485133734,0.09163351256079552,3.27192960085909,19.623924544437138,0.8162173244764228,0
10025,confirmation,random,0.36714463568436206,1.0,0.025957169018635845,0.08247226646246306,2.9516106048268216,19.365235253304952,0.8825018657035013,576
10025,confirmation,evolution,0.3509096250422693,1.0,0.04219217966072862,0.05961084217643277,2.075671822688275,18.940756603461626,0.1377221247034487,576
10026,confirmation,static,0.3178196230020877,1.0,0.1318965544161263,0.09285153995454633,2.9720901065847265,21.79800717096083,0.8043120679047011,0
10026,confirmation,random,0.3515872731232575,1.0,0.0981289042949565,0.061903881546860384,1.891444370339897,16.826949547321544,0.8935358976583639,576
10026,confirmation,evolution,0.34605624708116645,1.0,0.10365993033704755,0.07838277607425219,2.4596221941340604,18.186296664097913,0.15825776174545841,576
10027,confirmation,static,0.26026011890878564,1.0,-0.06029531984709597,0.046834631464815625,1.9468113673143752,16.036151857002018,0.920067631098397,0
10027,confirmation,random,0.2979464539888442,4.0,-0.09798165492715454,0.05907178614074825,2.3794059601342714,25.01818454180139,0.7065664419545981,576
10027,confirmation,evolution,0.2368896002943737,1.0,-0.03692480123268404,0.03804730100883268,1.681383445558635,6.339011714170961,0.2662229934437652,576
10028,confirmation,static,0.33477060288183164,1.0,-0.09194111798350856,0.06867058690109734,2.450335164148379,22.404405241406874,0.8857660809452202,0
10028,confirmation,random,0.35472663277364314,1.0,-0.11189714787532007,0.08354021308093684,2.9422090245878545,22.69694280032655,0.8688892453666259,576
10028,confirmation,evolution,0.33107120403659474,25.0,-0.08824171913827161,0.0643526934532112,2.2624656365919966,32.800942694522284,0.30064699441930826,576
10029,confirmation,static,0.35519376155094934,1.0,-0.009000381173594182,0.08739761913022208,3.2664745915330893,16.44201697622013,0.7721915185169752,0
10029,confirmation,random,0.3022049488819792,1.0,0.04398843149537598,0.0741260063484487,2.5955109057576227,33.03454455314628,0.7513474320188849,576
10029,confirmation,evolution,0.30360822407401344,1.0,0.04258515630334172,0.09304485496009063,3.5592283326200453,22.800372611516426,0.24227831341700187,576
