spec,term,coef,se,t,n
primary,const,3.7284817145554188,3.8131648898287076,0.9777918926351247,208
primary,vw,0.1521290539765602,0.30486636351724034,0.499002422640034,208
primary,is_mean_z,-0.05495145367229376,0.0545942865225366,-1.0065422074819077,208
primary,year_z,-0.14002368190414707,0.23131882714336205,-0.605327649432383,208
primary,log_pp_n,-0.5841290200778265,0.7050029550152098,-0.8285483286594514,208
secondary_pp_mean,const,-1.2943055426756422,1.8752405312766887,-0.690207747266673,208
secondary_pp_mean,vw,-0.13188302635808563,0.13163855975038907,-1.0018571048495222,208
secondary_pp_mean,is_mean_z,0.2693642993762248,0.08380963024061283,3.2140017633163964,208
secondary_pp_mean,year_z,0.07079309094507581,0.117756964213932,0.6011796535147106,208
secondary_pp_mean,log_pp_n,0.3011049379716355,0.3467880790540959,0.8682678447106187,208
R1_winsor,const,0.9008090316490845,0.6662501015107145,1.3520583780873134,208
R1_winsor,vw,0.058946015705140756,0.10296323493883001,0.57249576259099,208
R1_winsor,is_mean_z,-0.01564559862024297,0.03236403702472982,-0.4834254332451773,208
R1_winsor,year_z,0.014722539290936122,0.05311613475099037,0.2771764052477786,208
R1_winsor,log_pp_n,-0.06389580482526003,0.12363791678284083,-0.5167978116089371,208
R2_clear,const,5.611378586385504,8.557226739183365,0.6557473299954899,165
R2_clear,vw,0.32883396173363566,0.34364857088318207,0.9568902349528978,165
R2_clear,is_mean_z,0.007633152446675351,0.04937243559059152,0.15460352229675975,165
R2_clear,year_z,-0.26575757991178234,0.5420631352005071,-0.49027052875211596,165
R2_clear,log_pp_n,-0.9418720353940241,1.5873084630557701,-0.5933768119529842,165
