signalname,primary_exposure,primary_matched_predictor,primary_corr_n,future_exposure,future_matched_predictor,future_corr_n,pub_year,in_sample,post_pub,change
EarningsSmoothness,0.9344530296142858,Beta,60.0,-0.941817847061385,ShareIss5Y,60.0,2004,0.0025625728670327914,0.2178198707752487,0.2152572979082159
EarningsTimeliness,0.5662518202395459,FirmAge,60.0,0.550217107193302,BrandInvest,60.0,2004,-0.032050888176555235,0.13401767347445134,0.16606856165100659
EarningsValueRelevance,0.6318069957707482,ShareRepurchase,60.0,0.6293573550430827,NetPayoutYield,60.0,2004,-0.023698851199740086,0.1612369594360622,0.18493581063580228
EntMult_q,0.6235986980297364,AnnouncementReturn,60.0,0.4827587043997891,ReturnSkew,60.0,2011,-1.654272996023152,-0.4194565661090347,1.234816429914117
FRbook,0.6704079557109515,Mom6m,60.0,-0.7177153705492935,OPLeverage,60.0,2006,0.31743441625591834,-0.18799073709373126,-0.5054251533496497
FailureProbability,0.9204835661012991,RealizedVol,60.0,-0.9021614708569516,BetaFP,60.0,2008,0.5813177956099033,0.010633252064261661,-0.5706845435456416
FailureProbabilityJune,0.9636445159520555,Price,60.0,0.8715251066451154,ChEQ,60.0,2008,0.1653472271206903,-0.12960593316855018,-0.29495316028924046
ForecastDispersionLT,-0.9064805149535017,VolMkt,60.0,-0.8873790378043608,RealizedVol,60.0,2005,-0.0020971234229887124,0.14404340778951513,0.14614053121250384
GPlag,-0.7292626074913184,AM,60.0,-0.42643491956505447,hire,60.0,2013,0.20173344488955214,0.5987427285844102,0.3970092836948581
GPlag_q,0.7835320814917486,XFIN,60.0,0.3872668954074415,ConvDebt,60.0,2013,0.8315347440693969,0.963642395360978,0.13210765129158109
GrGMToGrSales,0.7192371091613563,VarCF,60.0,0.6929355340648374,High52,60.0,1998,0.3657256175387015,0.17684550834247995,-0.18888010919622153
GrSaleToGrReceivables,0.435366861239823,MRreversal,60.0,0.39037280463753704,RDS,60.0,1998,0.022188740125035692,0.046103630550441664,0.023914890425405972
IdioVolCAPM,-0.9795737256365413,High52,60.0,-0.9421546754282512,ShareIss1Y,60.0,2006,-0.28259167066892094,-0.45827316859863537,-0.17568149792971444
IdioVolQF,-0.9811307637563467,High52,60.0,-0.9387793481387638,ShareIss1Y,60.0,2006,-0.3381523092480625,-0.3730100985081548,-0.03485778926009231
IntrinsicValue,0.837145708347322,RoE,60.0,0.8981647514773946,FEPS,60.0,1998,0.4699311068715127,0.0754087259148689,-0.39452238095664377
KZ,0.6670027211603972,VolMkt,60.0,0.686101538273621,IdioVolAHT,60.0,2001,0.2169238541226747,0.011269742903692802,-0.2056541112189819
KZ_q,0.7879518098230665,SP,60.0,0.7533628832787513,EntMult,60.0,2001,-0.301624752478887,-0.058928653598623155,0.24269609888026383
LaborforceEfficiency,-0.29716704112961817,AnnouncementReturn,60.0,0.2747401863062687,betaVIX,60.0,1998,-0.07543364005584773,-0.16343351142830193,-0.0879998713724542
Leverage_q,-0.7065251848839711,Beta,60.0,0.9217749435366034,AM,60.0,1988,0.36533216086164233,0.46521610960772575,0.09988394874608342
NetDebtPrice_q,0.8326859801563842,cfp,60.0,-0.8615504876554007,Cash,60.0,2007,-0.6429803963594666,-0.2399891633120791,0.4029912330473875
NetPayoutYield_q,-0.9525403960497387,Beta,60.0,0.9366557172954445,ShareIss1Y,60.0,2007,0.7048829390421443,0.6556168042591463,-0.04926613478299802
OPLeverage_q,-0.7578410357480362,HerfAsset,60.0,0.7636431639885133,BetaTailRisk,60.0,2011,0.39730323241241977,-0.011147962854712895,-0.4084511952671327
OScore_q,0.887208410606149,BidAskSpread,60.0,0.8271316997057516,TotalAccruals,60.0,1998,-1.052843396861055,-0.6571975300648731,0.39564586679618197
OperProfLag,-0.922177502755056,RD,60.0,-0.9207510574172163,BetaFP,60.0,2006,0.4026515033875732,0.33776902478585696,-0.06488247860171625
OperProfLag_q,0.9630808038963942,cfp,60.0,0.9352760904040859,roaq,60.0,2006,0.9961467350365891,0.580213619422746,-0.41593311561384316
OperProfRDLagAT,-0.8264491028537243,Price,60.0,,,,2016,0.051889032331349366,0.964187030782146,0.9122979984507966
OperProfRDLagAT_q,-0.8862921735554893,Price,60.0,,,,2016,0.8957248645113678,1.4563022382545219,0.5605773737431541
OrgCapNoAdj,0.6438076029642535,InvestPPEInv,60.0,0.484041073531591,dVolPut,60.0,2013,0.648900902798082,0.30762240233342436,-0.34127850046465763
PM,-0.9045802776153974,Beta,60.0,-0.8820613838895875,BetaFP,60.0,2008,0.5423523953131736,0.06707896017327213,-0.47527343513990145
PM_q,-0.9585719583670107,Price,60.0,0.9458923824413646,roaq,60.0,2008,1.2317833936424698,0.4545000757638218,-0.777283317878648
PS_q,0.5633879661522673,ShareVol,60.0,-0.5454034097633843,dCPVolSpread,46.0,2000,1.110294248208749,0.6091628614311179,-0.5011313867776311
PayoutYield_q,0.9455385295389673,ShareIss5Y,60.0,0.9213142602197745,ShareIss1Y,60.0,2007,0.46080413780566576,0.38236281536833466,-0.0784413224373311
RD_q,0.9638875976773651,BookLeverage,60.0,0.9452823487834149,Cash,60.0,2001,0.8468790921115561,0.20146047749386334,-0.6454186146176928
ResidualMomentum6m,0.7828725871626493,Mom6m,60.0,-0.5710851663853176,OptionVolume2,60.0,2011,0.40655095416530146,0.1795486296782244,-0.22700232448707705
RetNOA,-0.6568597987639917,grcapx,60.0,-0.6839475182307633,EarningsForecastDisparity,60.0,2008,0.011400997965356872,0.10388339375663443,0.09248239579127755
RetNOA_q,-0.944251218875284,Price,60.0,0.9080189027145721,roaq,60.0,2008,1.216818786931089,0.4475686720356942,-0.7692501148953947
ReturnSkewCAPM,0.7354746235139259,BidAskSpread,60.0,-0.5541767300613843,OperProfRD,60.0,2015,-0.37875328249029694,-0.18072640277974622,0.19802687971055072
ReturnSkewQF,-0.6937966379300079,RoE,60.0,-0.5447688420957717,OperProfRD,60.0,2015,-0.23009589528850205,-0.17213931375750754,0.057956581530994505
SP_q,0.8120752360974917,AM,60.0,0.8673731726300303,AdExp,60.0,1996,1.1761565369747122,1.0727222103860024,-0.10343432658870988
Tax_q,0.8998125681037719,sfe,60.0,-0.8985674325236377,Cash,60.0,2004,0.02181143914260779,0.10689484756024487,0.08508340841763708
WW,0.9340623521532861,BidAskSpread,60.0,0.8591721332932184,OPLeverage,60.0,2006,0.4106009412212672,-0.12919445877302538,-0.5397953999942926
WW_Q,0.9528837998556012,Price,60.0,0.8549728934552816,OPLeverage,60.0,2006,0.504317799431809,-0.16784884218039278,-0.6721666416122017
ZScore,0.5834638950978768,MeanRankRevGrowth,60.0,0.5962678480960074,MomOffSeason,60.0,1998,-0.3325925775074551,0.12328433481001093,0.455876912317466
ZScore_q,-0.7094077591406593,LRreversal,60.0,-0.7774029488413642,DelEqu,60.0,1998,-0.26663899465805874,-0.3180138922501175,-0.051374897592058766
betaCC,0.8723697421645057,Size,60.0,0.8248394591741076,BrandInvest,60.0,2005,0.32344053138653844,-0.006308127592646808,-0.32974865897918526
betaCR,-0.8018174871281581,Size,60.0,-0.7172900358428913,MomOffSeason,60.0,2005,-0.08615790333019425,-0.02429841764539308,0.06185948568480118
betaNet,0.8903816475847349,Size,60.0,0.8896387293976188,BrandInvest,60.0,2005,0.3508892604954522,0.1355668141720966,-0.21532244632335562
betaRC,-0.9222324871844967,BidAskSpread,60.0,-0.9162909877988538,OPLeverage,60.0,2005,0.07749072386882164,-0.3421403121258634,-0.419631035994685
betaRR,0.9733260081047301,Beta,60.0,0.978170635132126,BetaFP,60.0,2005,-0.04934456233200051,0.464234951489461,0.5135795138214615
cashdebt,-0.8805059480516787,Price,60.0,-0.8637449586298803,DelEqu,60.0,1989,-0.06579365310868063,0.10689404527952509,0.17268769838820572
cfpq,-0.9510456999233701,BidAskSpread,60.0,0.9456908110334841,XFIN,60.0,2004,0.9584501623659403,0.9609830693383395,0.0025329069723992736
currat,-0.8075455505715118,Leverage,60.0,-0.8086451029824089,AM,60.0,1989,0.28069369569848496,0.174034219120055,-0.10665947657842995
depr,0.6918501577902544,Beta,60.0,-0.7984095309712704,IdioVolAHT,60.0,1992,0.2716587413986395,0.35991021485185576,0.08825147345321627
fgr5yrNoLag,-0.8822127171624894,IndIPO,60.0,-0.8683526115686764,PredictedFE,60.0,1996,-0.6551911588589007,-0.18541284153208445,0.4697783173268162
grcapx1y,0.7438625130255119,SurpriseRD,60.0,-0.6457735836666648,ConvDebt,60.0,2006,-0.2740455245385926,-0.04168920568281941,0.23235631885577318
nanalyst,-0.9783049831183942,Size,60.0,-0.9004662309891786,RDS,60.0,2001,0.18602908299432536,0.12429513451371664,-0.061733948480608716
pchcurrat,-0.5944095542138872,Price,60.0,-0.6390267155519488,TotalAccruals,60.0,1989,0.21172362494379415,-0.21384809714248698,-0.42557172208628113
pchdepr,0.5835426732208067,BidAskSpread,60.0,0.5731183782342655,MomOffSeason,60.0,1992,0.16925324639633904,0.04520090749187744,-0.1240523389044616
pchgm_pchsale,-0.6855442163590975,BidAskSpread,60.0,0.6550617685365641,roaq,60.0,1998,0.4134050555227242,0.12995706662307785,-0.2834479888996464
