tercile,n,exposure,change,in_sample,post_pub
low,38,-0.8691556101717893,-0.060712870567095414,0.16142935354486293,0.1007164829777675
middle,37,0.1128085269947103,-0.05693818275749497,0.16718748462892633,0.11024930187143135
high,38,0.8893494091024285,-0.24451039811608877,0.42255243133927434,0.17804203322318554
