family,seed,policy,violation_area,breach_days,recovery_days,total_reduction,healthy_reduction,terminal_equity,maximum_drawdown,false_action_days
liquidity_drain,30000,none,17.6319848406655,90,90,0.0,0.0,69.39030236653676,-0.40838249053404607,0
liquidity_drain,30000,proportional,0.1575237763563313,4,1,63.57794625000001,52.98162187500001,80.66149580147362,-0.3078292226238104,0
liquidity_drain,30000,vol_target,0.0,0,0,190.79682325972087,190.79682325972087,99.50587850311723,-0.08982231074482627,4
liquidity_drain,30000,liquidate,0.14459459459459467,1,1,216.0,180.0,107.73479622577452,-0.06389298451278103,0
liquidity_drain,30000,immune,0.14459459459459467,1,1,59.5,40.0,79.72207678479496,-0.3148188335436617,2
liquidity_drain,30001,none,15.146917578735845,90,90,0.0,0.0,109.21560506684825,-0.11998246837440785,0
liquidity_drain,30001,proportional,0.1575237763563313,4,1,63.57794625000001,52.98162187500001,105.47887771443644,-0.11095231530627603,0
liquidity_drain,30001,vol_target,0.0,0,0,221.26459879549643,221.26459879549643,93.67544136115733,-0.09586222186171034,6
liquidity_drain,30001,liquidate,0.14459459459459467,1,1,216.0,180.0,96.24605945889348,-0.09586222186171034,0
liquidity_drain,30001,immune,0.14459459459459467,1,1,68.525,49.5,99.65617937452902,-0.12243864915976532,3
liquidity_drain,30002,none,15.615291144392616,90,90,0.0,0.0,89.0552653690041,-0.2676967194101838,0
liquidity_drain,30002,proportional,0.1575237763563313,4,1,63.57794625000001,52.98162187500001,89.1566879065054,-0.23745097588646957,0
liquidity_drain,30002,vol_target,0.0,0,0,207.50507429594035,207.50507429594035,91.0473547376177,-0.15325996073969628,5
liquidity_drain,30002,liquidate,0.14459459459459467,1,1,216.0,180.0,91.68881603148756,-0.14826093769725435,0
liquidity_drain,30002,immune,0.14459459459459467,1,1,44.518499999999996,21.118499999999997,94.468502926162,-0.22031127879583645,2
liquidity_drain,30003,none,16.34974846363004,90,90,0.0,0.0,75.82427767916361,-0.28163601739027677,0
liquidity_drain,30003,proportional,0.1575237763563313,4,1,63.57794625000001,52.98162187500001,82.013163120428,-0.2122265576909843,0
liquidity_drain,30003,vol_target,0.0,0,0,238.98370084251155,238.98370084251155,89.99709424731456,-0.1231352399592669,10
liquidity_drain,30003,liquidate,0.14459459459459467,1,1,216.0,180.0,95.88139412020436,-0.12417999960647264,0
liquidity_drain,30003,immune,0.14459459459459467,1,1,34.23,0.0,75.24272444021113,-0.28365182289151514,1
liquidity_drain,30004,none,15.146917578735845,90,90,0.0,0.0,95.7762157362986,-0.15800234125112766,0
liquidity_drain,30004,proportional,0.1575237763563313,4,1,63.57794625000001,52.98162187500001,97.77912986772212,-0.12186830017619266,0
liquidity_drain,30004,vol_target,0.0,0,0,196.64004512277592,196.64004512277592,99.12973147397813,-0.09731586042512996,3
liquidity_drain,30004,liquidate,0.14459459459459467,1,1,216.0,180.0,104.18766364430888,-0.09731586042512996,0
liquidity_drain,30004,immune,0.14459459459459467,1,1,59.5,40.0,98.24961798709278,-0.12817048985821133,2
liquidity_drain,30005,none,18.368477388604006,90,90,0.0,0.0,71.30351099147816,-0.3072908990023835,0
liquidity_drain,30005,proportional,0.1575237763563313,4,1,63.57794625000001,52.98162187500001,75.48448497305792,-0.2666730011204591,0
liquidity_drain,30005,vol_target,0.0,0,0,237.70597997478654,237.03038962437665,93.17448735363598,-0.09481574647334268,15
liquidity_drain,30005,liquidate,0.14459459459459467,1,1,216.0,180.0,90.42523176980436,-0.12152459064395149,0
liquidity_drain,30005,immune,0.14459459459459467,1,1,68.525,59.5,72.40360943006253,-0.29660351222711334,3
