family,seed,policy,day,leverage,lcr,equity,violation,action
liquidity_drain,30000,none,0,2.3976827525097297,1.322314049586777,100.09664529170279,0.0,0.0
liquidity_drain,30000,none,1,2.381525987339715,1.322314049586777,100.77572164899705,0.0,0.0
liquidity_drain,30000,none,2,2.4627762052720055,1.322314049586777,97.45099838395296,0.0,0.0
liquidity_drain,30000,none,3,2.5138198424616682,1.322314049586777,95.47223549837965,0.0,0.0
liquidity_drain,30000,none,4,2.4786684920329196,1.322314049586777,96.8261793666325,0.0,0.0
liquidity_drain,30000,none,5,2.4597018595202464,1.322314049586777,97.57280097629837,0.0,0.0
liquidity_drain,30000,none,6,2.4079632112040033,1.322314049586777,99.66929680790174,0.0,0.0
liquidity_drain,30000,none,7,2.4096565078441596,1.322314049586777,99.59925791029863,0.0,0.0
liquidity_drain,30000,none,8,2.390573568008129,1.322314049586777,100.39431674967132,0.0,0.0
liquidity_drain,30000,none,9,2.3568180675526578,1.322314049586777,101.83221323028056,0.0,0.0
liquidity_drain,30000,none,10,2.369749422669279,1.322314049586777,101.27653063405528,0.0,0.0
liquidity_drain,30000,none,11,2.318540870105715,1.322314049586777,103.51337908011821,0.0,0.0
liquidity_drain,30000,none,12,2.3195916218124415,1.322314049586777,103.46648855908224,0.0,0.0
liquidity_drain,30000,none,13,2.3113478006979307,1.322314049586777,103.83551965979764,0.0,0.0
liquidity_drain,30000,none,14,2.27765866322639,1.322314049586777,105.37136396901144,0.0,0.0
liquidity_drain,30000,none,15,2.2984486994817908,1.322314049586777,104.41825395281197,0.0,0.0
liquidity_drain,30000,none,16,2.2455285817716213,1.322314049586777,106.87906711508022,0.0,0.0
liquidity_drain,30000,none,17,2.2529004933572447,1.322314049586777,106.52933882683604,0.0,0.0
liquidity_drain,30000,none,18,2.2066988281591557,1.322314049586777,108.75974416509287,0.0,0.0
liquidity_drain,30000,none,19,2.2255523268220503,1.322314049586777,107.83839908302897,0.0,0.0
liquidity_drain,30000,none,20,2.22555201236019,1.322314049586777,107.83841432017616,0.0,0.0
liquidity_drain,30000,none,21,2.1929682708481586,1.322314049586777,109.44070791647931,0.0,0.0
liquidity_drain,30000,none,22,2.197855627331936,1.322314049586777,109.19734536492076,0.0,0.0
liquidity_drain,30000,none,23,2.17614489527662,1.322314049586777,110.28677388207299,0.0,0.0
liquidity_drain,30000,none,24,2.183098786643768,1.322314049586777,109.9354740464901,0.0,0.0
liquidity_drain,30000,none,25,2.130813709673222,1.322314049586777,112.63302789468443,0.0,0.0
liquidity_drain,30000,none,26,2.1126130437789845,1.322314049586777,113.60338832836824,0.0,0.0
liquidity_drain,30000,none,27,2.100140828602616,1.322314049586777,114.2780506580077,0.0,0.0
liquidity_drain,30000,none,28,2.0853585989628804,1.322314049586777,115.08811967369073,0.0,0.0
liquidity_drain,30000,none,29,2.1146289522047113,1.322314049586777,113.4950884644685,0.0,0.0
liquidity_drain,30000,none,30,2.12473438137872,0.8554054054054053,112.95529554346754,0.14459459459459467,0.0
liquidity_drain,30000,none,31,2.0462254440370082,0.8459459459459459,117.28912896640696,0.15405405405405415,0.0
liquidity_drain,30000,none,32,2.149434869768411,0.8364864864864864,111.6572562284051,0.16351351351351362,0.0
liquidity_drain,30000,none,33,2.1235219223498123,0.8270270270270269,113.01978918796596,0.1729729729729731,0.0
liquidity_drain,30000,none,34,2.1670835928069243,0.8175675675675673,110.7479198294972,0.18243243243243268,0.0
liquidity_drain,30000,none,35,2.15053257170013,0.8081081081081078,111.60026272481196,0.19189189189189215,0.0
liquidity_drain,30000,none,36,2.1145109746495745,0.7986486486486484,113.50142083787189,0.20135135135135163,0.0
liquidity_drain,30000,none,37,2.0942552792219553,0.7891891891891889,114.59920974350524,0.2108108108108111,0.0
liquidity_drain,30000,none,38,2.087507616137887,0.7797297297297294,114.96964041933688,0.22027027027027057,0.0
liquidity_drain,30000,none,39,2.076062542853483,0.7702702702702698,115.60345367540205,0.22972972972973016,0.0
liquidity_drain,30000,none,40,2.0706064536466395,0.7608108108108104,115.90807107614536,0.23918918918918963,0.0
liquidity_drain,30000,none,41,2.105292229889017,0.7513513513513509,113.99842577324854,0.2486486486486491,0.0
liquidity_drain,30000,none,42,2.110409884899715,0.7418918918918914,113.72198439612815,0.2581081081081086,0.0
liquidity_drain,30000,none,43,2.083760224021789,0.732432432432432,115.1763994884137,0.26756756756756805,0.0
liquidity_drain,30000,none,44,2.1159374975563288,0.7229729729729724,113.42490044113929,0.27702702702702764,0.0
liquidity_drain,30000,none,45,2.148244505995556,0.7135135135135129,111.71912663115475,0.2864864864864871,0.0
liquidity_drain,30000,none,46,2.1646611197567966,0.7040540540540534,110.87185786704775,0.2959459459459466,0.0
liquidity_drain,30000,none,47,2.1416004884055755,0.6945945945945939,112.06571967990179,0.30540540540540606,0.0
liquidity_drain,30000,none,48,2.118463116425268,0.6851351351351344,113.28967596328995,0.31486486486486565,0.0
liquidity_drain,30000,none,49,2.115918695973621,0.6756756756756749,113.4259083095658,0.3243243243243251,0.0
liquidity_drain,30000,none,50,2.0906228585501125,0.6662162162162154,114.79832386719653,0.3337837837837846,0.0
liquidity_drain,30000,none,51,2.0827881038406435,0.6567567567567559,115.23015690239542,0.34324324324324407,0.0
liquidity_drain,30000,none,52,2.0538205863378973,0.6472972972972965,116.8553872701882,0.35270270270270354,0.0
liquidity_drain,30000,none,53,2.0650796163031493,0.6378378378378369,116.21827948195123,0.3621621621621631,0.0
liquidity_drain,30000,none,54,2.083218505948886,0.6283783783783774,115.20634984503573,0.3716216216216226,0.0
liquidity_drain,30000,none,55,2.0948771861243114,0.6189189189189179,114.565188637153,0.3810810810810821,0.0
liquidity_drain,30000,none,56,2.159146190992281,0.6094594594594585,111.15504869529144,0.39054054054054155,0.0
liquidity_drain,30000,none,57,2.1608612553000506,0.599999999999999,111.06682551290149,0.400000000000001,0.0
liquidity_drain,30000,none,58,2.1767746495720686,0.5905405405405394,110.25486724001564,0.4094594594594606,0.0
liquidity_drain,30000,none,59,2.228280046107253,0.5810810810810799,107.7063901457421,0.4189189189189201,0.0
liquidity_drain,30000,none,60,2.3120440009872025,0.888429752066114,103.80425281591708,0.11157024793388604,0.0
liquidity_drain,30000,none,61,2.343863668602951,0.888429752066114,102.39503398380285,0.11157024793388604,0.0
liquidity_drain,30000,none,62,2.3240747925706584,0.888429752066114,103.26690034555044,0.11157024793388604,0.0
liquidity_drain,30000,none,63,2.344130652314781,0.888429752066114,102.38337174722105,0.11157024793388604,0.0
liquidity_drain,30000,none,64,2.306950551394316,0.888429752066114,104.03343923212594,0.11157024793388604,0.0
liquidity_drain,30000,none,65,2.3242099879841702,0.888429752066114,103.26089348241567,0.11157024793388604,0.0
liquidity_drain,30000,none,66,2.332952563787458,0.888429752066114,102.87393053992031,0.11157024793388604,0.0
liquidity_drain,30000,none,67,2.3677609219147198,0.888429752066114,101.36158502266393,0.11157024793388604,0.0
liquidity_drain,30000,none,68,2.355973951090147,0.888429752066114,101.86869845863454,0.11157024793388604,0.0
