run,selected_train_mean,selected_test_mean,chosen_filter
0,0.1283935190511089,0.05781864284533895,16
1,0.10291734346647627,-0.0167360067669366,26
2,0.11239418740633884,0.07392907245003874,33
3,0.12093775197528646,-0.07118424857733147,45
4,0.08801644833748837,-0.12034470926848685,41
5,0.043868313202255864,0.052511535763692316,18
6,0.1167540359856574,-0.1372341284141681,42
7,0.1784040040043129,0.015798544365588182,6
8,0.14600755001661483,-0.053502393762403525,13
9,0.11611176963010499,-0.06903971628558984,36
10,0.13031382914271794,-0.006833685133532321,44
11,0.05278374843648375,0.007661220971336797,44
12,0.08464318521875856,0.020117065029946354,18
13,0.0038285887401647775,-0.014428920584781794,16
14,0.1014196738568306,-0.1219303879577128,1
15,0.12945412972494508,0.012213413896731067,12
16,0.027489719863685133,-0.09589373222169553,39
17,0.11196546753651293,8.79219987454051e-05,14
18,0.08401683810203386,-0.021655193892261573,30
19,0.07367449798998511,-0.04511272864537876,5
20,0.21552209614210047,-0.02030682623502613,33
21,0.06713046740773662,-0.005152251374918489,47
22,0.09444277785861076,-0.036080491962444165,22
23,0.0889367684798709,-0.009098942504345873,13
24,0.05029106577190144,-0.0018258217544108008,1
25,0.08834853646455673,0.025502853963233138,15
26,0.11901090971210937,0.06145778299962766,34
27,0.10839898175288608,0.01699180555428959,8
28,0.17637544501624414,0.011323243473397901,47
29,0.10283144616833977,0.0010128597647867657,2
30,-0.019404253056799867,-0.024613460473223724,10
31,0.08880349368762563,0.010771222853986516,14
32,0.006425283505137467,-0.08277513561771266,45
33,0.05131929012415678,-0.034819521677935346,45
34,0.09069570245334017,0.011947462580635507,33
35,0.09479669396669296,-0.01776105498152242,12
36,0.06952514862118457,-0.028969195373745874,16
37,0.11340343650204283,-0.1357135677135495,25
38,0.14706226073235446,-0.1723069203680949,21
39,-0.01802354941247692,0.06623083242920252,21
40,0.09122336027295119,0.05783674595080525,32
41,0.08206611820477198,0.06753672791927595,23
42,0.14310151311660793,-0.0018467431920582839,8
43,0.035520866546962786,-0.046515093037737494,7
44,0.15042834445110498,-0.0735801080765963,18
45,0.1118367006876767,-0.028816978514314206,37
46,0.07221012232597983,0.0021553920774370714,1
47,0.16081187885231676,-0.018807953810764482,5
48,0.12286662155526974,-0.0643568240844876,38
49,0.11807285142871414,0.040169900665452764,41
50,0.03324515936688092,0.061530285082306777,41
51,0.13395147970640825,-0.05127666752816048,12
52,0.1070546394454952,0.016535664758387327,24
53,0.09215095841427767,0.0007131833614605255,26
54,0.041172077032813725,0.10903611344960369,38
55,0.07111970328336942,0.11854311587933998,14
56,0.08538039005544773,-0.039131476486534894,16
57,0.05970265939663142,0.03614548108762533,38
58,0.040436073582879054,-0.005979015457561346,30
59,0.18805805454373495,0.11146805017584867,1
60,0.09822317172783689,-0.008978276587447898,8
61,0.11921507894585814,0.007512135987091203,20
62,0.17440778171229004,-0.12693971813919655,28
63,0.023152233967180025,-0.09985665598402103,48
64,0.11407403374327948,0.10983392391763,20
65,0.08172110968506788,0.08826530571041655,30
66,0.08375553342874131,0.029537461791910587,46
67,0.057577905948713884,0.08910631882501867,10
68,0.09827789689613092,0.06328162473519829,8
69,0.07053980483161218,0.05975442671379359,29
70,0.16643094472858655,0.003267842148810142,1
71,0.12662134956874602,0.03004966784905794,28
72,0.17995950439584957,-0.0075980543145715744,49
73,0.11750365429671446,0.060459974830154146,39
74,0.06070942138813754,-0.01615769045938293,7
75,0.14432983405905886,0.15570500096873,12
76,0.13034977876198828,0.06843350203917763,42
