comparator,mean_monthly_ce_difference,ci_low,ci_high,controller_win_fraction
localized,-4.8238337194419306e-05,-0.003124593496058235,0.003455860912863981,0.48333333333333334
random,-0.0006990270048608967,-0.0025181572485166877,0.0009613038496784245,0.5166666666666667
all_gene,-0.0006289016524749031,-0.004762632372779786,0.0037648046500955014,0.5166666666666667
min_variance,0.0027323465957410226,-0.0007847415218251087,0.006063176028108794,0.5583333333333333
equal_weight,0.0017941361478995,-0.00012380312850132524,0.004003984357885114,0.5791666666666667
