period,date,method,route,danger,localization,turnover,candidate_count
confirmation,2013-10-01,random,random,0.6540632579116731,0.4147135449455219,0.0,64
confirmation,2013-10-01,min_variance,min_variance,0.6540632579116731,0.4147135449455219,0.062499699266679185,1
confirmation,2013-10-01,equal_weight,equal_weight,0.6540632579116731,0.4147135449455219,0.0,1
confirmation,2013-11-01,controller,tolerate,0.7607701404562163,0.3139439042183828,0.0,0
confirmation,2013-11-01,localized,localized,0.7607701404562163,0.3139439042183828,0.017580119295044376,64
confirmation,2013-11-01,all_gene,all_gene,0.7607701404562163,0.3139439042183828,0.08875731974514477,64
confirmation,2013-11-01,random,random,0.7607701404562163,0.3139439042183828,0.0,64
confirmation,2013-11-01,min_variance,min_variance,0.7607701404562163,0.3139439042183828,0.0769426556276518,1
confirmation,2013-11-01,equal_weight,equal_weight,0.7607701404562163,0.3139439042183828,0.0,1
confirmation,2013-12-02,controller,tolerate,0.8114607779848612,0.31707528985272465,0.0,0
confirmation,2013-12-02,localized,localized,0.8114607779848612,0.31707528985272465,0.0,64
confirmation,2013-12-02,all_gene,all_gene,0.8114607779848612,0.31707528985272465,0.04058017789021185,64
confirmation,2013-12-02,random,random,0.8114607779848612,0.31707528985272465,0.0,64
confirmation,2013-12-02,min_variance,min_variance,0.8114607779848612,0.31707528985272465,0.06168461374589161,1
confirmation,2013-12-02,equal_weight,equal_weight,0.8114607779848612,0.31707528985272465,0.0,1
confirmation,2014-01-02,controller,tolerate,0.557138194729163,0.3751361112622544,0.0,0
confirmation,2014-01-02,localized,localized,0.557138194729163,0.3751361112622544,0.0,64
confirmation,2014-01-02,all_gene,all_gene,0.557138194729163,0.3751361112622544,0.013100787515878967,64
confirmation,2014-01-02,random,random,0.557138194729163,0.3751361112622544,0.0,64
confirmation,2014-01-02,min_variance,min_variance,0.557138194729163,0.3751361112622544,0.08510778279275101,1
confirmation,2014-01-02,equal_weight,equal_weight,0.557138194729163,0.3751361112622544,0.0,1
confirmation,2014-02-03,controller,tolerate,0.9840442965040271,0.34686587607435904,0.0,0
confirmation,2014-02-03,localized,localized,0.9840442965040271,0.34686587607435904,0.0011271223064441603,64
confirmation,2014-02-03,all_gene,all_gene,0.9840442965040271,0.34686587607435904,0.006794377063994089,64
confirmation,2014-02-03,random,random,0.9840442965040271,0.34686587607435904,0.6541968438107757,64
confirmation,2014-02-03,min_variance,min_variance,0.9840442965040271,0.34686587607435904,0.08701062091032871,1
confirmation,2014-02-03,equal_weight,equal_weight,0.9840442965040271,0.34686587607435904,0.0,1
confirmation,2014-03-03,controller,tolerate,0.6788102506218787,0.3693447189848747,0.0,0
confirmation,2014-03-03,localized,localized,0.6788102506218787,0.3693447189848747,0.0,64
confirmation,2014-03-03,all_gene,all_gene,0.6788102506218787,0.3693447189848747,0.0017249204626059607,64
confirmation,2014-03-03,random,random,0.6788102506218787,0.3693447189848747,0.0,64
confirmation,2014-03-03,min_variance,min_variance,0.6788102506218787,0.3693447189848747,0.1059716299067546,1
confirmation,2014-03-03,equal_weight,equal_weight,0.6788102506218787,0.3693447189848747,0.0,1
confirmation,2014-04-01,controller,tolerate,0.8215757096892629,0.3540566492143874,0.0,0
confirmation,2014-04-01,localized,localized,0.8215757096892629,0.3540566492143874,0.0,64
confirmation,2014-04-01,all_gene,all_gene,0.8215757096892629,0.3540566492143874,0.011960761392909152,64
confirmation,2014-04-01,random,random,0.8215757096892629,0.3540566492143874,0.521910209784731,64
confirmation,2014-04-01,min_variance,min_variance,0.8215757096892629,0.3540566492143874,0.040875075870738804,1
confirmation,2014-04-01,equal_weight,equal_weight,0.8215757096892629,0.3540566492143874,0.0,1
