period,method,month,month_return,month_variance,certainty_equivalent
confirmation,all_gene,2005-01,-0.015827231298839672,5.000918301149133e-05,-0.01590224507335691
confirmation,all_gene,2005-02,0.07030729531887969,6.513699347403409e-05,0.07020958982866864
confirmation,all_gene,2005-03,-0.027488346270675534,9.524816482673647e-05,-0.02763121851791564
confirmation,all_gene,2005-04,-0.04483111411434881,0.00025651457137798025,-0.045215885971415785
confirmation,all_gene,2005-05,0.022189045688204123,0.00020202585350925713,0.021886006907940236
confirmation,all_gene,2005-06,0.054809252781436335,0.00011151613962517585,0.054641978571998574
confirmation,all_gene,2005-07,0.05542454308990563,0.00017657986966315562,0.055159673285410896
confirmation,all_gene,2005-08,0.04674421396753381,0.00011188057999824299,0.046576393097536445
confirmation,all_gene,2005-09,0.06819297784518352,0.00017316293756067418,0.06793323343884251
confirmation,all_gene,2005-10,-0.09919959079546692,0.000581829286468443,-0.10007233472516959
confirmation,all_gene,2005-11,0.0100591981592566,0.0002228722921650766,0.009724889721008984
confirmation,all_gene,2005-12,0.004513468852886282,0.00016221129032204366,0.004270151917403217
confirmation,all_gene,2006-01,0.12503811681903643,0.0002292352968319858,0.12469426387378844
confirmation,all_gene,2006-02,-0.08139071792519459,0.00018728257443029298,-0.08167164178684003
confirmation,all_gene,2006-03,0.039455098532173105,0.0001350326664613251,0.03925254953248112
confirmation,all_gene,2006-04,0.046152526026463025,0.00018078682928240753,0.04588134578253941
confirmation,all_gene,2006-05,-0.034492972741448025,0.00023739205557336837,-0.03484906082480808
confirmation,all_gene,2006-06,0.02733409390678343,0.00039844298416104665,0.026736429430541858
confirmation,all_gene,2006-07,0.05085235009302225,0.0001794743996002018,0.05058313849362194
confirmation,all_gene,2006-08,-0.032985793149928,6.912261702231992e-05,-0.033089477075461476
confirmation,all_gene,2006-09,-0.03809424924500904,0.0002700913756963974,-0.03849938630855363
confirmation,all_gene,2006-10,0.051419452024477286,0.00019793371030861262,0.05112255145901436
confirmation,all_gene,2006-11,0.08409903039706279,0.00015617260750923665,0.08386477148579893
confirmation,all_gene,2006-12,-0.016667167564678342,0.00010017232050941083,-0.01681742604544246
confirmation,all_gene,2007-01,-0.00732825312788743,0.00018071584811034445,-0.007599326900052946
confirmation,all_gene,2007-02,-0.018790026558762607,9.076983385980808e-05,-0.018926181309552318
confirmation,all_gene,2007-03,0.03679521114814821,6.296507046063807e-05,0.03670076354245725
confirmation,all_gene,2007-04,0.03869754679821358,2.6857924432783693e-05,0.0386572599115644
confirmation,all_gene,2007-05,0.031391313728845516,2.2824159921860497e-05,0.03135707748896272
confirmation,all_gene,2007-06,-0.008225196398883527,6.097980828812863e-05,-0.00831666611131572
confirmation,all_gene,2007-07,-0.030017485544368894,0.0001256031031299432,-0.03020589019906381
confirmation,all_gene,2007-08,0.009097336692355462,0.00022824338135302594,0.008754971620325923
confirmation,all_gene,2007-09,0.06914219697568824,9.895325653483795e-05,0.06899376709088599
confirmation,all_gene,2007-10,0.027216899027387553,0.0001624360965596253,0.026973244882548115
confirmation,all_gene,2007-11,-0.042701529116264236,0.0004110248762161394,-0.04331806643058844
confirmation,all_gene,2007-12,0.07097998333988031,0.00018122495457630723,0.07070814590801586
confirmation,all_gene,2008-01,-0.0902162970235888,0.0003368941150586337,-0.09072163819617675
confirmation,all_gene,2008-02,0.06824580380799827,0.00032650483248860776,0.06775604655926536
confirmation,all_gene,2008-03,-0.029145387215494645,0.0005350982101916358,-0.029948034530782097
confirmation,all_gene,2008-04,0.10678361683380233,0.0001385748425954207,0.1065757545699092
confirmation,all_gene,2008-05,0.0423889239916333,0.00021409137128312132,0.04206778693470862
confirmation,all_gene,2008-06,0.027479035850033195,0.00036920991424353847,0.02692522097866789
confirmation,all_gene,2008-07,-0.15666649628394258,0.0006161460569407785,-0.15759071536935373
confirmation,all_gene,2008-08,-2.132774984520136e-05,0.00043104902231793155,-0.0006679012833220987
confirmation,all_gene,2008-09,-0.12094685171016506,0.0019341738290509162,-0.12384811245374143
confirmation,all_gene,2008-10,-0.1666184493901074,0.006593538210099931,-0.17650875670525729
confirmation,all_gene,2008-11,0.0020310886399408368,0.0038465186689270094,-0.0037386893634496774
confirmation,all_gene,2008-12,-0.0234891125736143,0.00128369648738061,-0.025414657304685215
confirmation,all_gene,2009-01,-0.03581455026229219,0.0008320406296295442,-0.037062611206736505
confirmation,all_gene,2009-02,-0.1215216878753761,0.000626709256347786,-0.12246175175989778
confirmation,all_gene,2009-03,0.04608165740482417,0.0008310275985228125,0.04483511600703995
confirmation,all_gene,2009-04,0.048694447554858744,0.00019809655529902576,0.04839730272191021
confirmation,all_gene,2009-05,0.07692477754129978,0.0001375701019615658,0.07671842238835744
confirmation,all_gene,2009-06,0.003936926638089533,0.00011047532491048125,0.003771213650723811
confirmation,all_gene,2009-07,0.07255222790125737,0.0001152187249057934,0.07237939981389868
confirmation,all_gene,2009-08,0.007495403150998836,3.6151462087800004e-05,0.007441175957867136
confirmation,all_gene,2009-09,0.04233135575824476,3.358053529665431e-05,0.04228098495529978
confirmation,all_gene,2009-10,-0.006197144542986033,6.916515008668537e-05,-0.006300892268116061
confirmation,all_gene,2009-11,0.03867212148240151,5.600238874812813e-05,0.038588117899279316
confirmation,all_gene,2009-12,0.026409915223167157,4.887376079778307e-05,0.026336604581970482
confirmation,all_gene,2010-01,-0.024012902537960956,4.739928202850802e-05,-0.02408400146100372
confirmation,all_gene,2010-02,0.027102593849918977,9.956272294837386e-05,0.026953249765496415
confirmation,all_gene,2010-03,0.05901145471356606,2.021806946059968e-05,0.058981127609375156
confirmation,all_gene,2010-04,-0.0036769367441777945,4.7994421686373396e-05,-0.0037489283767073544
confirmation,all_gene,2010-05,-0.06602606415566759,0.0003007218192054071,-0.0664771468844757
confirmation,all_gene,2010-06,-0.04149732799767458,0.0002449535239950155,-0.041864758283667106
confirmation,all_gene,2010-07,0.09333550338292884,0.0001804340677914463,0.09306485228124167
confirmation,all_gene,2010-08,-0.05342618071133154,0.00017121861935789817,-0.05368300864036839
confirmation,all_gene,2010-09,0.09606273902852425,0.00011049322524891297,0.09589699919065088
confirmation,all_gene,2010-10,0.04906181053342662,6.511698535572197e-05,0.048964135055393036
confirmation,all_gene,2010-11,0.010342165456780128,8.94486082734101e-05,0.010207992544370013
confirmation,all_gene,2010-12,0.06157628629384537,2.8043098460265805e-05,0.06153422164615498
confirmation,all_gene,2011-01,0.024734300347952543,5.390177732103851e-05,0.024653447681970985
confirmation,all_gene,2011-02,0.03488497980247196,8.4124461486732e-05,0.03475879311024186
confirmation,all_gene,2011-03,0.01867780309073175,0.00014013772940906925,0.018467596496618145
confirmation,all_gene,2011-04,0.029744040252691395,6.149466682333679e-05,0.02965179825245639
confirmation,all_gene,2011-05,-0.020162298801445044,7.568787818587171e-05,-0.02027583061872385
confirmation,all_gene,2011-06,-0.007114271362210323,0.00014607887212206492,-0.00733338967039342
confirmation,all_gene,2011-07,-0.03565719305507842,0.00011265204721194424,-0.03582617112589633
confirmation,all_gene,2011-08,-0.0655676165842165,0.0010271730395316262,-0.06710837614351395
confirmation,all_gene,2011-09,-0.10421203176547633,0.000446968156651576,-0.10488248400045369
confirmation,all_gene,2011-10,0.13122554321951085,0.000436434298837202,0.13057089177125505
confirmation,all_gene,2011-11,0.0182349207542305,0.00038242906725745464,0.017661277153344316
confirmation,all_gene,2011-12,0.010277173229725545,0.00012723034869007352,0.010086327706690434
confirmation,all_gene,2012-01,0.007939453929312723,2.6357102062553587e-05,0.007899918276218892
confirmation,all_gene,2012-02,0.04173253384348863,1.2879322008783045e-05,0.04171321486047545
confirmation,all_gene,2012-03,0.03461355891176976,2.875235703806892e-05,0.03457043037621266
confirmation,all_gene,2012-04,0.007337402201861076,5.3993648327391985e-05,0.007256411729369988
confirmation,all_gene,2012-05,-0.027688036143307393,4.172116964242424e-05,-0.02775061789777103
confirmation,all_gene,2012-06,0.03426858531886978,8.904874012025856e-05,0.03413501220868939
confirmation,all_gene,2012-07,0.013690393121143396,5.070561374482492e-05,0.013614334700526158
confirmation,all_gene,2012-08,0.0013247898675625702,3.5730756165327916e-05,0.0012711937333145784
confirmation,all_gene,2012-09,0.009104216799748377,4.894037452645323e-05,0.009030806237958697
confirmation,all_gene,2012-10,-0.01709543701994598,3.370763960062551e-05,-0.01714599847934692
confirmation,all_gene,2012-11,0.03232835747903984,7.57238114031568e-05,0.0322147717619351
confirmation,all_gene,2012-12,-0.02273281204651323,3.0154872977495813e-05,-0.022778044355979472
confirmation,all_gene,2013-01,0.0508209948493108,4.7654427739653553e-05,0.05074951320770132
confirmation,all_gene,2013-02,0.03176769220934861,4.380224331007501e-05,0.031701988844383494
confirmation,all_gene,2013-03,0.05079862363744225,2.0116640089094943e-05,0.05076844867730861
confirmation,all_gene,2013-04,0.03774783101610657,8.791575299192406e-05,0.03761595738661869
confirmation,all_gene,2013-05,-0.022900148776330065,4.746153823645547e-05,-0.02297134108368475
confirmation,all_gene,2013-06,0.0020248351299720913,0.00011241947723165186,0.0018562059141246136
confirmation,all_gene,2013-07,0.029575915466499847,2.476629134770519e-05,0.02953876602947829
confirmation,all_gene,2013-08,-0.037482722340196006,4.4398571717509005e-05,-0.03754932019777227
confirmation,all_gene,2013-09,0.03438667258895478,2.9262497953752876e-05,0.03434277884202415
confirmation,all_gene,2013-10,0.056684206872181564,6.666815590311261e-05,0.0565842046383269
confirmation,all_gene,2013-11,0.0017325315876464131,6.0588966524474275e-05,0.0016416481378597016
confirmation,all_gene,2013-12,0.03923183423754639,4.1118166234116406e-05,0.03917015698819522
confirmation,all_gene,2014-01,-0.0383608657857899,6.862445043984706e-05,-0.03846380246144967
confirmation,all_gene,2014-02,0.025594123178728223,9.76797002140626e-05,0.025447603628407128
confirmation,all_gene,2014-03,0.0017968014151874545,4.578416064536758e-05,0.001728125174219403
confirmation,all_gene,2014-04,0.00413384740731515,8.767511682171462e-05,0.004002334732082578
confirmation,all_gene,2014-05,0.03995341550423093,2.803978618615536e-05,0.03991135582495169
confirmation,all_gene,2014-06,0.014925613530124338,1.7770929165239552e-05,0.014898957136376479
confirmation,all_gene,2014-07,-0.00900709893299223,4.1990202197817066e-05,-0.009070084236288956
confirmation,all_gene,2014-08,0.010364870632019851,3.1986928494652185e-05,0.010316890239277872
confirmation,all_gene,2014-09,-0.017916120721256257,3.239930573162726e-05,-0.017964719679853698
confirmation,all_gene,2014-10,0.01749274473298912,0.0001231213736420386,0.01730806267252606
confirmation,all_gene,2014-11,0.02699240347466003,1.1534020721532498e-05,0.026975102443577734
confirmation,all_gene,2014-12,-0.014530665848364488,8.001416379558931e-05,-0.014650687094057872
confirmation,all_gene,2015-01,-0.023082142324879706,8.647558479651022e-05,-0.02321185570207447
confirmation,all_gene,2015-02,0.057338298441891755,2.433979046224387e-05,0.05730178875619839
confirmation,all_gene,2015-03,-0.024023964226202232,7.620069445204193e-05,-0.024138265267880297
confirmation,all_gene,2015-04,0.008856178737401521,2.159860600418764e-05,0.00882378082839524
confirmation,all_gene,2015-05,0.015024254470426657,3.3964222806389965e-05,0.014973308136217072
confirmation,all_gene,2015-06,-0.015470365988076051,4.529515524088103e-05,-0.015538308720937373
confirmation,all_gene,2015-07,0.050811718634671044,4.976086460455994e-05,0.050737077337764204
confirmation,all_gene,2015-08,-0.041200273184816005,0.0001634410829831613,-0.04144543480929075
confirmation,all_gene,2015-09,-0.005795977354602022,0.0001475167987303816,-0.006017252552697594
confirmation,all_gene,2015-10,0.06797599637227414,7.12682154591841e-05,0.06786909404908537
confirmation,all_gene,2015-11,-0.009206835165542882,6.815378328686749e-05,-0.009309065840473182
