period,method,cumulative_net_log_return,annualized_volatility,annualized_expected_shortfall_5pct,maximum_drawdown,turnover,candidate_count
confirmation,all_gene,2.5178712819771523,0.24086412793520373,0.5797220462031599,-0.5316941758102023,11.519368463431244,15360
confirmation,controller,2.412765053846038,0.19196847334455572,0.4634988850388718,-0.5117050158399815,16.704678087198815,4096
confirmation,equal_weight,1.9949432430728158,0.18702130309217027,0.45698109579574797,-0.5250142868485248,0.0,240
confirmation,localized,2.4224962710000377,0.19143403819906527,0.4629208236718897,-0.44286815581718475,11.009460441897954,15360
confirmation,min_variance,1.8369561532556737,0.14937261565790094,0.35593322972810426,-0.3690193102988274,18.330118223014942,240
confirmation,random,2.5457946915146596,0.1939152336747543,0.47055718997373086,-0.4727773077540889,43.15398392066041,15360
later_vintage,all_gene,0.18647530852479155,0.2153975272055494,0.4910108642579289,-0.22797849290597982,2.6050286724994622,1152
later_vintage,controller,0.18760068302446326,0.16269692032196237,0.35751059549462066,-0.16593424960848735,1.2703387575076095,320
later_vintage,equal_weight,0.22356321265072254,0.15172785263157026,0.33230357966833257,-0.164727980238347,0.0,18
later_vintage,localized,0.0965079059263266,0.22276495259841636,0.4825402089909603,-0.2183892555028304,1.473626535356276,1152
later_vintage,min_variance,0.1175559920652173,0.12520221844681487,0.2826282621969104,-0.11704021589469205,1.9660953871842737,18
later_vintage,random,-0.013885704520513381,0.1707129671672326,0.37930833585151247,-0.19391926832261774,6.106535359375426,1152
