spec,term,coef,se,t
E1_pred_eras,ps,-0.24936213473477642,0.05851176392968391,-4.2617435877415275
E1_pred_eras,pp,-0.32490999953179617,0.10954077454249525,-2.966110116427473
E1_pred_eras,era_1993_2000,0.22435127366347687,0.09027979259333034,2.4850663389766297
E1_pred_eras,era_2001_2010,0.01922845600774611,0.14327294844767516,0.13420855936924167
E1_pred_eras,era_2011_2019,-0.10102630906026608,0.11640423460878062,-0.8678920436168175
E1_pred_eras,era_2020_2024,0.11819921130183597,0.15433773789933816,0.7658477629037663
E0_pred_no_eras,ps,-0.24664596160965122,0.064073961633391,-3.849394595278405
E0_pred_no_eras,pp,-0.3694664053830956,0.05691364331476653,-6.491701881387651
E2_pred_eventtime,ps,-0.260940089447558,0.06382210469400236,-4.088553498801797
E2_pred_eventtime,pp1,-0.32897556418685064,0.1054873508056728,-3.1186257089049896
E2_pred_eventtime,pp2,-0.31249808430716963,0.1263918017843034,-2.4724553325101724
E2_pred_eventtime,pp3,-0.40143181422576346,0.17132957114748895,-2.343038691669818
E2_pred_eventtime,era_1993_2000,0.23102640768304047,0.09167348346871414,2.520100676242809
E2_pred_eventtime,era_2001_2010,0.03413630274609213,0.1536079327462717,0.22223007715674548
E2_pred_eventtime,era_2011_2019,-0.06700118669829487,0.13716788726872714,-0.4884611699750985
E2_pred_eventtime,era_2020_2024,0.18383017363202686,0.18760407627343326,0.9798836852782137
E3_placebo_eras,ps,0.09476935220051735,0.07727315538393509,1.2264201161406136
E3_placebo_eras,pp,-0.09366737501036915,0.07916768398005576,-1.183151638413045
E3_placebo_eras,era_1993_2000,-0.09417591191299349,0.053149235847093856,-1.7719146928834524
E3_placebo_eras,era_2001_2010,-0.008778616511919128,0.06230621820328845,-0.14089470946987764
E3_placebo_eras,era_2011_2019,-0.09405139134850489,0.07773347972101492,-1.2099212808439153
E3_placebo_eras,era_2020_2024,0.04612306768335261,0.11337547411955613,0.40681697731834965
E3b_placebo_no_eras,ps,0.08185119650370393,0.06863608119238185,1.1925388961861194
E3b_placebo_no_eras,pp,-0.10998935432795516,0.04313770355932641,-2.5497266950404307
R1_pred_5y_bins,ps,-0.2921668814728477,0.05733820658069749,-5.095500869244202
R1_pred_5y_bins,pp,-0.29365286722121214,0.08634086958453693,-3.4010876730132376
R1_pred_5y_bins,era_1990_1994,0.11275924054988748,0.0956917169503007,1.178359466665763
R1_pred_5y_bins,era_1995_1999,0.09582976397055848,0.10271167332627573,0.9329977875654303
R1_pred_5y_bins,era_2000_2004,0.401659404708001,0.20584002205450805,1.9513183136058858
R1_pred_5y_bins,era_2005_2009,-0.10842970427204512,0.09081020042758228,-1.19402560242683
R1_pred_5y_bins,era_2010_2014,-0.059135947236537686,0.09536110814737996,-0.620126468592872
R1_pred_5y_bins,era_2015_2019,-0.18386255176918068,0.11380471935030566,-1.6155968998370616
R1_pred_5y_bins,era_2020_2024,0.09714999386450252,0.1387433018943502,0.7002139385329029
R2_pred_linear_trend,ps,-0.23416374259874267,0.06785544533277452,-3.4509204301933956
R2_pred_linear_trend,pp,-0.34750210555006694,0.08862055156333601,-3.9212360950124703
R2_pred_linear_trend,trend,-0.00700268155417172,0.024111685238923142,-0.2904268816045837
R3_pred_winsorized,ps,-0.23767490902186406,0.05249611764548111,-4.527475929304711
R3_pred_winsorized,pp,-0.28430159334918054,0.09336199671237455,-3.0451533103457944
R3_pred_winsorized,era_1993_2000,0.20764515488281857,0.08440016853384127,2.460245737537369
R3_pred_winsorized,era_2001_2010,0.033872620831002793,0.12608086232491988,0.26865790895140373
R3_pred_winsorized,era_2011_2019,-0.124108131364445,0.10209043893010271,-1.215668505935379
R3_pred_winsorized,era_2020_2024,0.08773073453933747,0.1362099510095872,0.6440846200228242
R4_pred_clear_only,ps,-0.22984338760098044,0.06769173667338474,-3.3954423227458874
R4_pred_clear_only,pp,-0.3387259724260562,0.1175710627712809,-2.8810318154987096
R4_pred_clear_only,era_1993_2000,0.21927931828317454,0.1022563837298949,2.144407129264319
R4_pred_clear_only,era_2001_2010,-0.020344557424336565,0.16734223414357863,-0.12157455365918599
R4_pred_clear_only,era_2011_2019,-0.14893488921886439,0.1310276911705783,-1.136667279170581
R4_pred_clear_only,era_2020_2024,0.08635999830091601,0.177943911518352,0.4853214564298784
