spec,observations,factors,post_pub_pct,post_pub_t,breadth_coef_pct,breadth_t
breadth_control,101920,141,-0.17560688107148356,-2.95703849322059,0.03981447337575657,0.8100393413703794
breadth_interactions,101920,141,-0.17979377021310422,-2.7296259919860515,0.03325672931205742,0.7458889761443015
