endpoint,estimate,ci_low,ci_high
hybrid_minus_evolution_full,-0.0017206683925343764,-0.012348783627241325,0.00907802013181683
hybrid_minus_random_full,-0.008363290482085997,-0.01500444058778153,-0.001410842625288158
hybrid_minus_evolution_early,0.0019530342638287496,-0.006135905245936101,0.01072100152685572
hybrid_minus_random_early,-0.0024253929641611335,-0.00687908850646439,0.0019927130145479125
minimum_family_phenotype_diversity_ratio,2.3714112631926483,,
hybrid_es_minus_better_baseline,0.019163912681809503,,
