seed,family,method,full_return,early_return,annual_volatility,annual_es_5,annual_turnover,genome_diversity,phenotype_diversity,evaluated_candidates,reserve_floor_margin
20000,rotation,evolution,0.0875805233933788,0.03333503011986276,0.08455066376788493,2.611163270231525,12.720176727559235,0.38474797634612606,0.0257028217769249,576,
20000,rotation,random,0.046017372625167606,0.016385128833405087,0.07341157072575656,2.1859355334338555,17.292745497033224,0.9026421126239453,0.3667052347055749,576,
20000,rotation,hybrid_quality,0.07951208217749928,0.03890468573742963,0.08320599202102122,2.6861842420288484,11.596803932874396,0.5134085168737651,0.22188837708822037,576,
20000,rotation,hybrid_diverse,0.051815707196415046,0.01704665955073064,0.07091477403334548,2.1114596875405183,15.644328679127353,0.6350710802963757,0.15248709217268042,576,0.0005366335848170783
20001,rotation,evolution,0.004763856199440697,0.06526184724372429,0.08121471672555329,3.1948088870105438,37.7077753365852,0.24742593396488377,0.0,576,
20001,rotation,random,0.018601802668369423,0.06736944901049316,0.06908038072006312,2.5243447077036505,18.356587096656817,0.9492036482308077,0.0,576,
20001,rotation,hybrid_quality,-0.045508894329784916,0.04273154856268182,0.07193151529025946,2.6494070244012895,26.553559317107254,0.8355360480189647,0.0,576,
20001,rotation,hybrid_diverse,-0.024080133338681586,0.0550253031174326,0.07250897655084075,2.579472289839454,23.566033963475284,0.7352632747717678,0.0,576,6.955355984830658e-05
20002,rotation,evolution,0.04416743835720856,0.06619969390850497,0.051538473421768684,1.640323198778799,36.15174448219552,0.19898399937906566,0.11483590627844327,576,
20002,rotation,random,0.07959034390680866,0.06459284343150173,0.06641957327379207,2.094209982982332,27.844146495234888,0.8608955839949144,0.3733285616677895,576,
20002,rotation,hybrid_quality,0.03208159961879575,0.05068986471953603,0.0649983528166071,2.1966618035504455,45.36943215764399,0.36607650730334484,0.19522811528162548,576,
20002,rotation,hybrid_diverse,0.05702068301352979,0.06797194272352294,0.07147173936572293,2.276917608971546,43.18042640994215,0.8354325456061472,0.43953906867548015,576,0.0029560260611382477
20003,rotation,evolution,0.15567184968655462,0.05576681994645987,0.10526989116807094,3.706903761578172,78.44357583812187,0.11069666209376898,0.012722401572405655,576,
20003,rotation,random,0.08541294915777019,0.0018884896418595153,0.08458198277638053,3.0245497217006236,38.65521164611727,0.9228740970615265,0.1894294029932042,576,
20003,rotation,hybrid_quality,0.05571381581248039,-0.018507390471267253,0.09202797276811199,3.4927837369841925,53.69884035207056,0.423220002680912,0.1506494906846997,576,
20003,rotation,hybrid_diverse,0.0954993050444721,0.022485496136828674,0.09566430312362453,3.4670685353614275,50.424998796556395,0.9796376254561916,0.15502103944798895,576,0.032962525956682955
20004,rotation,evolution,0.03715392635230902,0.011015234208626538,0.08649709062302073,2.951783960894398,14.170267807692909,0.2585944052593336,0.15655397557584913,576,
20004,rotation,random,0.031626201863965274,0.024406333389077658,0.09225810354616464,3.0722469213372166,15.185313752307025,0.7108170133891468,0.23171413925015016,576,
20004,rotation,hybrid_quality,-0.025313529835802706,0.01796905787700334,0.09068625883875571,3.089233941688414,19.023168745042426,0.37020115047037905,0.12160741894160278,576,
20004,rotation,hybrid_diverse,0.012459537508745108,0.00969655676227255,0.08756181783712572,2.957652806045065,16.519029551671686,0.16305984741423865,0.025371780517724263,576,0.01376296719623904
20005,rotation,evolution,-0.04215255890620763,-0.015794028635237694,0.05718847564936546,2.148979378181796,18.053853549720753,0.22627802194772254,0.1092996149643583,576,
20005,rotation,random,-0.06614552966793119,-0.012876917133337905,0.057876842370454776,2.290611237875545,23.339803113413144,0.8213042854077548,0.17874655923412153,576,
20005,rotation,hybrid_quality,-0.07287331800288795,-0.026378091759933664,0.06035724235872709,2.550191465157138,22.997197394311968,0.25651420643999356,0.08940235258920164,576,
20005,rotation,hybrid_diverse,-0.09214022283708699,-0.017105891141561493,0.059264860510528705,2.3212947277393856,26.11625825047618,0.44978719576430526,0.1796952208620635,576,0.0004819971898857023
20006,rotation,evolution,-0.07654577449140418,-0.07888756506567673,0.10453227370440431,3.3738361797637815,26.32088808961507,0.1008582573063455,0.047444001770788745,576,
20006,rotation,random,-0.02592031393392095,-0.04602480945407001,0.08905905763127951,2.889489074394435,24.268072873333157,0.7628352095653915,0.19386714503958308,576,
20006,rotation,hybrid_quality,-0.05641118893615568,-0.07336952268304657,0.09804444590212459,3.2961501932372292,28.123863756288728,0.20154853018566435,0.02928764610339414,576,
20006,rotation,hybrid_diverse,-0.038202984218411,-0.05349525056615906,0.09357980694868008,3.1687340923014844,28.580105977952748,0.2699758541790204,0.11173729867990131,576,0.0012312200124690552
20007,rotation,evolution,0.04627230897906884,0.00017912627430874406,0.056268257458955244,1.8019105249967384,11.340136294685454,0.30357027169600936,0.08179302119506096,576,
20007,rotation,random,0.078202030835117,0.02982826325018017,0.07861939319852558,2.5039992892739975,18.129089165397218,0.664339488084487,0.28420242828317804,576,
20007,rotation,hybrid_quality,0.05943174130287954,0.013743787315213026,0.07657462040604812,2.397667043897425,15.788151019569815,0.19008776501583877,0.10631683050258704,576,
20007,rotation,hybrid_diverse,0.06419567267527015,0.023858732711495387,0.08204720486728367,2.646638453219619,22.001254107081735,0.4502101319800421,0.13617009896686677,576,0.0004903230027349381
20008,rotation,evolution,-0.12025305307910687,-0.07207556734294883,0.058947620660251256,2.1907971463701617,21.78744322800687,0.28961278303280563,0.005275244616454296,576,
20008,rotation,random,-0.14713659298310452,-0.1041493666575476,0.06268241155391563,2.433896835768603,32.66011262868487,0.8880197898769554,0.18421826501518138,576,
20008,rotation,hybrid_quality,-0.09682839055537767,-0.08167226758160256,0.06551439189015028,2.473934481515922,29.6281050549943,0.3136097077304745,0.03372655803611434,576,
20008,rotation,hybrid_diverse,-0.10163454388524036,-0.10026577469935806,0.07392889523752559,2.8061444530227764,26.295725456850523,0.6443593162033866,0.12575692703748556,576,0.0015275461545948277
