term,coef,se,t
ps,-0.25874267420487845,0.07147046364640917,-3.6202741804638934
pp,-0.39012465527470697,0.058470056349660925,-6.672212746669763
ps_x_ismean,-0.20662844982714576,0.04498509957225339,-4.593264253984074
pp_x_ismean,-0.25706770950797336,0.04294473874348416,-5.986011721796241
