term,coef,se,t
ps,-0.2654718218274233,0.073843698987665,-3.595050430393096
pp,-0.3880226619563831,0.05777397687579021,-6.716218666937247
ps_x_op_t,-0.021028330367795514,0.050246736189412416,-0.41850141845086514
pp_x_op_t,-0.01841866705485255,0.033361278488598926,-0.5520971584211634
ps_x_vol,-0.12555951404853177,0.07298328396082177,-1.7203872891761558
pp_x_vol,-0.00593775076770638,0.04466210430519528,-0.13294829834105412
ps_x_ismean,-0.1302359772775597,0.05960113470346946,-2.1851258021431343
pp_x_ismean,-0.24708207076114447,0.04725773033207338,-5.228394783772596
