char,tercile,window,mean,se,n_predictors
op_t,T1_low,in_sample,0.4957336717117715,0.04712953091185949,65
op_t,T1_low,post_sample,0.2273959044182029,0.1070401896715943,65
op_t,T1_low,post_pub,0.24841119629801087,0.04093388951131195,65
op_t,T2_mid,in_sample,0.5968326824004708,0.051504941911042615,60
op_t,T2_mid,post_sample,0.5350980644863097,0.09696162596385846,60
op_t,T2_mid,post_pub,0.30618712017757493,0.07723737126258981,60
op_t,T3_high,in_sample,0.8776207451408475,0.04033208886580449,63
op_t,T3_high,post_sample,0.5278978460446527,0.08315001717839791,63
op_t,T3_high,post_pub,0.39352936521955223,0.05292319961229827,63
vol,T1_low,in_sample,0.41892094791204876,0.023200052952299096,63
vol,T1_low,post_sample,0.3454960061915206,0.045732743989667375,63
vol,T1_low,post_pub,0.16512660772077106,0.02317763918013533,63
vol,T2_mid,in_sample,0.5953332233756834,0.03958200679915948,62
vol,T2_mid,post_sample,0.3960319120762054,0.07478808004523547,62
vol,T2_mid,post_pub,0.31241309001946943,0.053435634415931715,62
vol,T3_high,in_sample,0.9747841727303964,0.06692822961601999,63
vol,T3_high,post_sample,0.5364046934669628,0.19245498596042798,63
vol,T3_high,post_pub,0.46735907884205763,0.09256031441546189,63
cites,T1_low,in_sample,0.7264249186696088,0.035519753996991955,63
cites,T1_low,post_sample,0.45928869591312627,0.0715555733609753,63
cites,T1_low,post_pub,0.3230401151758043,0.04748634215475199,63
cites,T2_mid,in_sample,0.5910925450743254,0.04613605369820119,64
cites,T2_mid,post_sample,0.32990881664740923,0.11030078901844896,64
cites,T2_mid,post_pub,0.18521389224819157,0.06660675658042327,64
cites,T3_high,in_sample,0.688066315899311,0.04919319889743066,61
cites,T3_high,post_sample,0.4856576284357644,0.13598288450852786,61
cites,T3_high,post_pub,0.41593488702140885,0.06274134443501159,61
