spec,term,coef,se,t
E1_primary_op_t_vol,ps,-0.25537723984168637,0.07409702241292654,-3.4465249955460386
E1_primary_op_t_vol,pp,-0.3793901739694348,0.05715777205913134,-6.637595558779738
E1_primary_op_t_vol,ps_x_op_t,-0.09247999581215348,0.04484827938463725,-2.0620634075837576
E1_primary_op_t_vol,pp_x_op_t,-0.150956256019677,0.029330450135786387,-5.146741878178464
E1_primary_op_t_vol,ps_x_vol,-0.20699195318471136,0.0641143461159535,-3.2284810767680243
E1_primary_op_t_vol,pp_x_vol,-0.1533331029131587,0.04787588946457347,-3.2027207144970116
E3_plus_cites,ps,-0.2579687942899195,0.07479588186096456,-3.448970556553483
E3_plus_cites,pp,-0.3850126126097201,0.05701068605674071,-6.753341158296722
E3_plus_cites,ps_x_op_t,-0.09374264084964477,0.04434905541180821,-2.1137460534206824
E3_plus_cites,pp_x_op_t,-0.14739858916223608,0.028700562326849612,-5.135738717716464
E3_plus_cites,ps_x_vol,-0.206599434212428,0.06302053687716826,-3.278287435334068
E3_plus_cites,pp_x_vol,-0.15692876394837013,0.047777390037331155,-3.2845821805199673
E3_plus_cites,ps_x_cites,-0.013461101174624667,0.055563414217551156,-0.2422655512477962
E3_plus_cites,pp_x_cites,0.04992045730201327,0.029418820180329368,1.6968884882539286
E4_solo_op_t,ps,-0.25150129774012286,0.0704517307170474,-3.569838457911246
E4_solo_op_t,pp,-0.3872990898118658,0.0586278695538628,-6.606057712126909
E4_solo_op_t,ps_x_op_t,-0.06618474345158225,0.04723448783575351,-1.4011953232503265
E4_solo_op_t,pp_x_op_t,-0.12469162644222563,0.030120029035518636,-4.13982424436526
E4_solo_vol,ps,-0.2592152484054612,0.07459056350383958,-3.4751748241199163
E4_solo_vol,pp,-0.38434470798317194,0.057264736516351195,-6.711717042012886
E4_solo_vol,ps_x_vol,-0.19047152619970267,0.06572588967518234,-2.8979680174892097
E4_solo_vol,pp_x_vol,-0.12891850735606322,0.047886825491884236,-2.692149793431433
E4_solo_cites,ps,-0.25754016811153513,0.07187457311509546,-3.583188837854054
E4_solo_cites,pp,-0.39612567948463273,0.05814031416119778,-6.81327036497169
E4_solo_cites,ps_x_cites,-0.01868743095463424,0.05727677309446091,-0.32626542916122236
E4_solo_cites,pp_x_cites,0.049076181066362336,0.030309504488667614,1.6191680429718465
R1_era_controls,ps,-0.2543794895914746,0.06451088726201144,-3.9432024637687966
R1_era_controls,pp,-0.3431427106455733,0.11428733176227092,-3.002456224626404
R1_era_controls,ps_x_op_t,-0.08790406802454923,0.04766125363071523,-1.8443507320566903
R1_era_controls,pp_x_op_t,-0.1507956139285587,0.029028131206305256,-5.194809574782551
R1_era_controls,ps_x_vol,-0.1954342454177837,0.06208905317253231,-3.147644156768076
R1_era_controls,pp_x_vol,-0.15532486965425654,0.04755146796135219,-3.2664579310253465
R1_era_controls,era_1993_2000,0.2353409556322868,0.09103289019742299,2.5852299660254987
R1_era_controls,era_2001_2010,0.025103289352058092,0.14873517323833157,0.1687784321993081
R1_era_controls,era_2011_2019,-0.07337279132032605,0.12356039480830726,-0.5938212760986826
R1_era_controls,era_2020_2024,0.11138674121304969,0.1622758079198506,0.6864038616776725
R2_pubyear_control,ps,-0.25514354053903504,0.0741746096364993,-3.4397692389537817
R2_pubyear_control,pp,-0.3867826353647966,0.059561706256513705,-6.49381388939807
R2_pubyear_control,ps_x_op_t,-0.0932455779605517,0.04478972525675367,-2.081851974443437
R2_pubyear_control,pp_x_op_t,-0.1472798690624632,0.029823773821683906,-4.938337781900048
R2_pubyear_control,ps_x_vol,-0.20965954161910488,0.06332920190000478,-3.310629777873279
R2_pubyear_control,pp_x_vol,-0.1585091703460584,0.04697918128097238,-3.374030070853069
R2_pubyear_control,pp_x_pubyear,-0.03318951517564349,0.044547405215548605,-0.7450381232094565
R3_realized_t,ps,-0.25404125018272333,0.07459264262960615,-3.405714574883465
R3_realized_t,pp,-0.37708361956283865,0.05696665788644962,-6.619374096238384
R3_realized_t,ps_x_rt,-0.1502308685432945,0.03755440508142557,-4.000352773997179
R3_realized_t,pp_x_rt,-0.20090047524821977,0.02804466530211981,-7.163589691085895
R3_realized_t,ps_x_vol,-0.2185616707270296,0.06473550962866292,-3.376225382031396
R3_realized_t,pp_x_vol,-0.16745154208262705,0.04914736530515239,-3.407131614135014
R4_winsorized,ps,-0.23641917451543523,0.06930225227837729,-3.4114212272030215
R4_winsorized,pp,-0.34554203526143645,0.053495357848310346,-6.4592900984276795
R4_winsorized,ps_x_op_t,-0.09751145590278366,0.042011157892113286,-2.321084702145032
R4_winsorized,pp_x_op_t,-0.155723522116211,0.025657876631761,-6.069228734362461
R4_winsorized,ps_x_vol,-0.19307811148589624,0.06068676489843348,-3.181552218330231
R4_winsorized,pp_x_vol,-0.126549777979777,0.04107131659615973,-3.081220386093241
R5_clear_only,ps,-0.28788283052308267,0.0809044243170148,-3.5583076321641753
R5_clear_only,pp,-0.40922643856074203,0.06421716639609816,-6.37253964207313
R5_clear_only,ps_x_op_t,-0.09659948068773755,0.0516204315973882,-1.8713419802678504
R5_clear_only,pp_x_op_t,-0.16047649480999038,0.032015604091708734,-5.012446254342266
R5_clear_only,ps_x_vol,-0.1844744936568029,0.06763094491526672,-2.727663998897647
R5_clear_only,pp_x_vol,-0.1760546221361856,0.05336824959457903,-3.2988644648009715
