signalname,in_sample,post_sample,post_pub
AOP,0.35601826581640983,0.2979546642170407,0.0010844517083971948
AdExp,0.6469165823662144,0.38277112174944,0.3181104233841904
AgeIPO,1.6107858657134897,-0.15331417438346337,0.7624571627173603
AnalystValue,0.21135496199705517,-0.05841174322217328,0.3870490310066111
BM,1.1743970284630216,0.3020494493622656,0.6117616944075415
BidAskSpread,0.7102592008232415,-0.776538194793235,0.0050656053784653215
ChForecastAccrual,0.3705687344260628,0.11851824472198513,0.10201003912306725
ChInv,0.7903739373762794,1.1130267024279343,0.25000421999325817
ChangeInRecommendation,1.0485869264973169,1.043934481146065,0.25575891704485304
DownRecomm,0.599286711819787,0.9550307124445636,0.18526984729797294
EP,0.36672896719072634,0.7226711591332433,0.203441478503393
EarningsSurprise,1.1304228101146432,0.7648099483971803,0.40025420258557626
FR,0.29796253736246475,-0.6478739547637103,-0.444335098843644
GrLTNOA,0.36912810663643353,0.2206325387068995,-0.04699287964587776
IO_ShortInterest,2.232290931750517,1.7318957407407456,5.790645223823447
MRreversal,0.39487685056369964,-0.20891651883858994,0.314672136842371
MeanRankRevGrowth,0.5428074471325005,0.11100177476045932,0.024920420827150656
NumEarnIncrease,0.4997069588940965,0.38238402750586986,0.310308049105735
OrderBacklogChg,0.3623828682876827,0.2185871633392437,0.6592545159729051
PredictedFE,0.41227634268849384,0.1395566172003748,-0.03658000915435493
RD,1.0123473132883358,2.5176682751487487,0.22383088884512206
RevenueSurprise,0.7313062114211061,0.5927592370871105,0.37449178161991337
ShortInterest,0.8250633249999367,0.659193781721754,0.9829098943035568
UpRecomm,0.6520710993403098,0.9417741661884024,0.1838158930501851
