spec,n_predictors,n_months_rows,mean_in_sample,beta_post_sample,se_post_sample,t_post_sample,beta_post_pub,se_post_pub,t_post_pub,decline_post_sample_pct,decline_post_pub_pct,postpub_mean,postpub_se,postpub_t
primary,212,136338,0.6700566750802432,-0.24664596160965122,0.064073961633391,-3.849394595278405,-0.3694664053830956,0.05691364331476653,-6.491701881387651,36.809716369158465,55.13957537082214,0.3334284304273598,0.04366116652111223,7.636727485650926
R1_clear_only,165,107672,0.7353231583762568,-0.2653276298170443,0.07324999148941556,-3.622220623129812,-0.42185780193790734,0.06367803229033005,-6.624856120153219,36.08313253766435,57.37039519732456,0.34838869273293005,0.050893802494544546,6.845405052418216
R2_positive_IS_only,208,132894,0.6899644327971756,-0.2524501225581341,0.06491888462706377,-3.8887008612112104,-0.3777516648913492,0.059419019616617476,-6.357420020200147,36.58886031772383,54.74944025156648,0.3448779426511903,0.04548066589233121,7.58295719477015
R3_winsorized_1_99,212,136338,0.6524595227478778,-0.2308865237388669,0.05999362043036257,-3.848517927116397,-0.34227732887039863,0.052666850104020335,-6.498913988483826,35.38710305989137,52.4595498934362,0.34069943080899295,0.039858302952912414,8.54776559883863
R4_end_2019,212,124109,0.6700566750802432,-0.24819067323181523,0.06415287005731023,-3.868738421369098,-0.4093132537164254,0.05780143700429019,-7.081368127336436,37.040250841780356,61.086363130015485,0.3005965453140731,0.04517020071007153,6.654753368121509
R5_balanced_36m,187,118261,0.6494456819419723,-0.2247065361454469,0.06589999647772428,-3.4098110494042726,-0.34886256616441863,0.05834729684110799,-5.9790698978642505,34.59974288743125,53.71697369997902,0.3371524094047084,0.04635368308733609,7.273476171666261
