signalname,in_sample,post_sample,post_pub
AM,0.6229211249515869,1.486964825979106,0.4681645056669595
AOP,0.35601826581640983,0.2979546642170407,0.0010844517083971948
AbnormalAccruals,0.5331654459476943,-0.008408935618112921,-0.12792889754196307
Accruals,0.6864724185765431,0.5942560644358408,0.09953759198926482
AccrualsBM,1.4453724700725552,2.278841149376534,0.8965328529637516
Activism1,0.2402973011435394,-0.141262840262018,0.1498519794789564
Activism2,0.4383249726952884,1.1475150585173013,0.16078676931185512
AdExp,0.6469165823662144,0.38277112174944,0.3181104233841904
AgeIPO,1.6107858657134897,-0.15331417438346337,0.7624571627173603
AnalystRevision,0.9612854729837959,1.2368591337692039,0.5348684330241866
AnalystValue,0.21135496199705517,-0.05841174322217328,0.3870490310066111
AnnouncementReturn,1.1476451663392677,1.2883669015448003,0.7998486989941243
AssetGrowth,1.4946683643990843,-0.39783373755342843,0.6665266413115017
BM,1.1743970284630216,0.3020494493622656,0.6117616944075415
BMdec,0.9691142196610789,0.5140736829607125,0.617564125665052
BPEBM,0.22106631004831703,-0.10510309965503159,-0.032297242165245356
Beta,0.6789863431325771,-1.9503766677303536,0.26265778163898956
BetaFP,-0.009859420550379265,0.04833350312021047,-0.16097788562399729
BetaLiquidityPS,0.37018126041975513,1.1035512409502748,-0.006675714350313062
BetaTailRisk,0.45652071654807447,-0.22606323371531375,0.27505540869466777
BidAskSpread,0.7102592008232415,-0.776538194793235,0.0050656053784653215
BookLeverage,0.26886825967083333,-0.3965892879242874,-0.028544556880941555
BrandInvest,0.5757106718677907,-0.32951453833794325,-0.42996135677780817
CBOperProf,0.4815079188202243,0.8629674392737626,0.5679045131635518
CF,0.8275561872491719,-0.4710706778053572,0.3850356806983065
CPVolSpread,0.9769581411100443,0.5074523180311862,0.46289770915964407
Cash,0.7153460915989154,-0.3033067402543277,-0.12558129075447577
CashProd,0.5200294720230376,-0.16252769203908304,0.2025033662409335
ChAssetTurnover,0.2908748614399139,0.09817521889145128,0.04546226529441378
ChEQ,0.5624440041578984,0.6884793883915145,0.4058739493126214
ChForecastAccrual,0.3705687344260628,0.11851824472198513,0.10201003912306725
ChInv,0.7903739373762794,1.1130267024279343,0.25000421999325817
ChInvIA,0.5016842759737974,0.44140477148707075,0.17880137563571052
ChNAnalyst,0.5683466100970784,0.529367913050309,0.10962672072379638
ChNNCOA,0.3554672226521279,0.211900699097603,-0.08816808406649157
ChNWC,0.15318585875503077,-0.19297771981461348,0.0723760857217517
ChTax,1.0547898262472477,0.36117710988871204,0.4255135064152096
