family,seed,policy,violation_area,breach_days,recovery_days,total_reduction,healthy_reduction,terminal_equity,maximum_drawdown,false_action_days
liquidity_drain,30000,breach_proportional,0.15474163485582482,3,1,72.39904893750001,60.33254078125001,82.03231437358852,-0.2960659823407663,0
liquidity_drain,30000,breach_targeted,0.14661072362685468,3,1,68.525,59.5,80.79040538550919,-0.30565365131397393,0
liquidity_drain,30000,early_proportional,0.14459459459459467,1,1,63.57794625000001,52.98162187500001,80.78911998019886,-0.3067340566326209,3
liquidity_drain,30000,early_targeted,0.14459459459459467,1,1,59.5,40.0,79.72207678479496,-0.3148188335436617,2
liquidity_drain,30001,breach_proportional,0.15474163485582482,3,1,72.39904893750001,60.33254078125001,105.02729271102895,-0.11095231530627603,0
liquidity_drain,30001,breach_targeted,0.14661072362685468,3,1,77.09875,77.09875,99.72194628233521,-0.1226736576593519,0
liquidity_drain,30001,early_proportional,0.14459459459459467,1,1,63.57794625000001,52.98162187500001,105.08750171448199,-0.11136180704769794,3
liquidity_drain,30001,early_targeted,0.14459459459459467,1,1,68.525,49.5,99.65617937452902,-0.12243864915976532,3
liquidity_drain,30002,breach_proportional,0.15474163485582482,3,1,72.39904893750001,60.33254078125001,89.0634174463774,-0.23427046939467178,0
liquidity_drain,30002,breach_targeted,0.15110689560762047,2,1,44.518499999999996,21.118499999999997,91.24398254345348,-0.2493366594825439,0
liquidity_drain,30002,early_proportional,0.14459459459459467,1,1,63.57794625000001,52.98162187500001,89.26704991112928,-0.23640646626624207,3
liquidity_drain,30002,early_targeted,0.14459459459459467,1,1,44.518499999999996,21.118499999999997,94.468502926162,-0.22031127879583645,2
liquidity_drain,30003,breach_proportional,0.15474163485582482,3,1,72.39904893750001,60.33254078125001,82.6390702667514,-0.20352171358902083,0
liquidity_drain,30003,breach_targeted,0.15110689560762047,2,1,44.518499999999996,21.118499999999997,77.43207021757034,-0.2632281770852968,0
liquidity_drain,30003,early_proportional,0.14459459459459467,1,1,63.57794625000001,52.98162187500001,81.8833460359719,-0.21222652247133955,3
liquidity_drain,30003,early_targeted,0.14459459459459467,1,1,34.23,0.0,75.24272444021113,-0.28365182289151514,1
liquidity_drain,30004,breach_proportional,0.15474163485582482,3,1,72.39904893750001,60.33254078125001,97.98038282801681,-0.11772927010932088,0
liquidity_drain,30004,breach_targeted,0.14661072362685468,3,1,68.525,59.5,97.84314599875307,-0.1267082659511819,0
liquidity_drain,30004,early_proportional,0.14459459459459467,1,1,63.57794625000001,52.98162187500001,97.93908514693875,-0.12035850969670858,3
liquidity_drain,30004,early_targeted,0.14459459459459467,1,1,59.5,40.0,98.24961798709278,-0.12817048985821133,2
liquidity_drain,30005,breach_proportional,0.15474163485582482,3,1,72.39904893750001,60.33254078125001,75.828995922393,-0.26332609902995385,0
liquidity_drain,30005,breach_targeted,0.14661072362685468,3,1,68.525,59.5,72.77741015975637,-0.2938520928487589,0
