family,early_targeted_mean,early_proportional_mean,targeted_lower
benign_volatility,0.03432295550460744,0.0330820262131133,False
combined,0.09289753917997193,0.07624222059270737,False
leverage_cancer,0.006575502745122841,0.005578009725659912,False
liquidity_drain,0.1420006073141741,0.14142070868196896,False
systemic_correlation,0.17835261237929603,0.183397955675492,True
