signalname,pre_corr,post_corr,pre_n,post_n,change
ChInv,0.07548811380331513,0.4602634891951087,60,60,0.3847753753917935
ChInvIA,-0.054130966833423215,0.16449865785344522,60,60,0.21862962468686845
ChNAnalyst,0.39469228433830833,0.20377566196693983,60,60,-0.1909166223713685
ChNNCOA,-0.009382884905881945,0.11383706754858833,60,60,0.12321995245447027
ChNWC,-0.3417238108413569,-0.16928791096365223,60,60,0.17243589987770466
ChTax,0.2732579399813857,0.41561000943778326,60,60,0.14235206945639756
ChangeInRecommendation,0.0941329738788096,0.1474582767538848,60,60,0.053325302875075184
CitationsRD,-0.4154870710343513,0.35335256499578294,60,60,0.7688396360301342
CompEquIss,0.46792685450461524,-0.2702281112816884,60,60,-0.7381549657863036
CompositeDebtIssuance,0.024288375929316174,0.21003656153753764,60,60,0.18574818560822146
ConsRecomm,-0.20053622189873813,0.3717821448364977,60,60,0.5723183667352358
ConvDebt,0.7167666313268409,0.21424709594715705,60,60,-0.5025195353796839
CoskewACX,0.19592601406644936,-0.6084950623644447,60,60,-0.8044210764308941
Coskewness,0.1477299837092196,-0.7276679747224818,60,60,-0.8753979584317014
CredRatDG,-0.11223776968529454,0.5812092419348829,60,60,0.6934470116201774
CustomerMomentum,0.1735154765932472,-0.3472190594748696,60,60,-0.5207345360681168
DebtIssuance,-0.19392068616423952,-0.41560138228812327,60,60,-0.22168069612388375
DelBreadth,0.44500210422291886,0.21736653682376486,60,60,-0.227635567399154
DelCOA,0.3791789065786229,-0.13376449908640978,60,60,-0.5129434056650327
DelCOL,0.626702690768928,0.13740167758847668,60,60,-0.4893010131804514
DelDRC,0.09152438985507581,0.12207844151988763,60,60,0.030554051664811815
DelEqu,0.11629054062619411,-0.2506763216770134,60,60,-0.3669668623032075
DelFINL,0.45046641959852063,0.17183216959335174,60,60,-0.2786342500051689
DelLTI,-0.2762122418904405,0.1899363690416493,60,60,0.4661486109320898
DelNetFin,0.20422136247905487,0.20309646126294195,60,60,-0.0011249012161129168
DivInit,-0.2543665304448824,-0.5607301049172643,60,60,-0.3063635744723819
DivOmit,0.12193850196482593,0.3862715401931368,60,60,0.2643330382283109
DivSeason,0.0025911961942559976,-0.30603107049812356,60,60,-0.3086222666923796
DolVol,0.6664252310643152,0.47569387181558637,60,60,-0.1907313592487288
DownRecomm,0.1332062520544494,-0.007753921603957504,60,60,-0.14096017365840688
EBM,0.3034860818958554,-0.007807586883799444,60,60,-0.31129366877965486
EarnSupBig,-0.2965042266205348,-0.12372685367675328,60,60,0.17277737294378154
EarningsConsistency,0.12766580642001266,0.2936821123629699,60,60,0.16601630594295727
EarningsForecastDisparity,0.21823841163270707,0.41720535030272693,60,60,0.19896693867001986
EarningsStreak,0.0837345159069497,0.4971727347482113,60,60,0.4134382188412616
EarningsSurprise,0.20431444915123698,0.10609988463071385,60,60,-0.09821456452052313
EntMult,-0.07127898597917613,0.05432302164015032,60,60,0.12560200761932644
EquityDuration,0.7748616215446846,0.07805148498907875,60,60,-0.6968101365556059
ExchSwitch,0.507638387887082,0.46583020547568604,60,60,-0.041808182411396
ExclExp,0.7152649300030338,0.5153732022171512,60,60,-0.1998917277858826
FEPS,0.7688065443682898,0.3782409818074599,60,60,-0.39056556256082986
FR,0.32919586935090783,0.40963961323972753,60,60,0.0804437438888197
FirmAge,0.07647237465523163,0.2908413082562675,60,60,0.21436893360103584
FirmAgeMom,0.6327625475044488,0.5697475897395711,60,60,-0.06301495776487775
ForecastDispersion,0.697800083866211,0.2403594417928377,60,60,-0.45744064207337326
Frontier,-0.3750604084373217,0.19337519544884368,60,60,0.5684356038861653
GP,-0.06007860812546886,0.28990999959165387,60,60,0.3499886077171227
Governance,-0.3334574238118764,-0.20362244565018262,60,38,0.12983497816169376
GrAdExp,0.08308493975481937,0.2780448046188207,60,60,0.19495986486400133
GrLTNOA,-0.2736353392367663,0.08448039022632901,60,60,0.35811572946309533
GrSaleToGrInv,0.14104706762649294,0.16830351822815995,60,60,0.02725645060166701
GrSaleToGrOverhead,-0.2420587600652709,-0.043623230523896425,60,60,0.1984355295413745
Herf,-0.310765085757651,0.14555319787789542,60,60,0.4563182836355464
HerfAsset,-0.21950113810051342,0.4029713193363106,60,60,0.622472457436824
HerfBE,-0.12058852416621227,0.4434095901512436,60,60,0.5639981143174558
High52,0.7714855305512741,0.7745811734684054,60,60,0.0030956429171312694
IO_ShortInterest,0.13235200208878645,0.20294150284348586,60,60,0.07058950075469941
IdioVol3F,0.6846281299850219,0.7433131141768804,60,60,0.058684984191858525
IdioVolAHT,0.6821874099385967,0.3854078322613471,60,60,-0.2967795776772496
Illiquidity,0.4519917516201797,0.5719581194781799,60,60,0.11996636785800019
IndIPO,-0.19136301373688794,-0.09048740840177018,60,60,0.10087560533511776
IndMom,-0.4302629312817117,0.24074126788869,60,60,0.6710041991704017
IndRetBig,-0.3465335917920037,0.20974376188881033,60,60,0.5562773536808141
IntMom,0.42967916549393476,0.41308837270182697,60,60,-0.01659079279210779
IntanBM,0.07471129181671403,-0.42195655657745434,60,60,-0.4966678483941684
IntanCFP,-0.021937581960893633,-0.42734786492418797,60,60,-0.40541028296329434
IntanEP,0.26945196897581036,0.12518141592052504,60,60,-0.14427055305528533
IntanSP,-0.1187406342038107,-0.20463854803148693,60,60,-0.08589791382767623
InvGrowth,0.403377521095022,0.23721013402339824,60,60,-0.16616738707162376
InvestPPEInv,0.18596737816900383,0.15098432532111308,60,60,-0.034983052847890744
Investment,0.08176925961513305,-0.058209495492956065,60,60,-0.1399787551080891
LRreversal,0.800920584135884,0.7506708225432658,60,60,-0.05024976159261818
Leverage,0.11930305358726015,0.6505334438994768,60,60,0.5312303903122166
MRreversal,0.47893565880616423,0.5060307071177416,60,60,0.02709504831157733
MS,0.060792165734998,0.26510270347387294,60,60,0.20431053773887492
MaxRet,0.8258656109182912,0.7312097919265982,60,60,-0.09465581899169306
MeanRankRevGrowth,0.3079223760413457,0.27698568899172243,60,60,-0.030936687049623268
Mom12m,-0.8281856973339392,-0.7951289053699805,60,60,0.03305679196395872
Mom12mOffSeason,0.2707578300955618,0.6797095008304171,60,60,0.40895167073485533
Mom6m,-0.846663113932647,-0.7201791954944614,60,60,0.12648391843818563
Mom6mJunk,0.3175694022209753,0.6538757106875681,60,60,0.3363063084665928
MomOffSeason,0.219735515426527,-0.33187574986952806,60,60,-0.5516112652960551
MomOffSeason06YrPlus,-0.09200999061822182,0.17369757981802503,60,60,0.2657075704362468
MomOffSeason11YrPlus,-0.2980869803738543,-0.32065023498263107,60,60,-0.022563254608776784
MomOffSeason16YrPlus,-0.005324200768481548,-0.06857303875731594,60,60,-0.06324883798883439
MomRev,0.7126750609737764,0.5713472735151415,60,60,-0.14132778745863495
MomSeason,-0.04377264777076656,0.35955462578961583,60,60,0.4033272735603824
MomSeason06YrPlus,-0.11729289438022253,-0.3073729614961215,60,60,-0.19008006711589895
MomSeason11YrPlus,0.2692951151111556,0.06082220791944195,60,60,-0.20847290719171366
MomSeason16YrPlus,0.26096934783033315,-0.26877617838954615,60,60,-0.5297455262198794
MomSeasonShort,0.03662866024249248,0.05863981872211186,60,60,0.022011158479619382
MomVol,0.03737224262835756,0.6222933134222134,60,60,0.5849210707938558
NOA,0.060956636411449626,0.32081576297141307,60,60,0.25985912655996346
NetDebtFinance,0.6742613697923927,0.23282960384761345,60,60,-0.4414317659447793
NetDebtPrice,-0.358362623696902,0.5680920676118563,60,60,0.9264546913087583
NetEquityFinance,0.7069661959301555,0.27510392172188675,60,60,-0.4318622742082688
NetPayoutYield,0.6574130557144381,0.21631744262495975,60,60,-0.4410956130894783
NumEarnIncrease,0.42597014463193933,0.7244863873180525,60,60,0.29851624268611315
OPLeverage,-0.35834921240975237,-0.19497806683395894,60,60,0.16337114557579344
OScore,0.4246587251744024,0.278637474401402,60,60,-0.14602125077300038
OperProf,0.6540801778071537,-0.0032377403938707193,60,60,-0.6573179182010244
OperProfRD,0.5865344313893924,0.23309189570253405,60,60,-0.35344253568685835
OptionVolume1,-0.043416261657433126,0.11035854148071564,60,60,0.15377480313814876
OptionVolume2,-0.41636495283867736,-0.2544340799444778,60,60,0.16193087289419955
OrderBacklog,-0.40823607546702406,0.19363888077123237,60,60,0.6018749562382564
OrderBacklogChg,-0.13519805665086268,-0.07973319718397806,60,60,0.05546485946688462
OrgCap,0.3027787262999194,-0.07247748310928656,60,60,-0.375256209409206
PS,0.25975556685779166,0.5344292990880769,60,60,0.27467373223028524
PayoutYield,0.19930502807045597,-0.3624269295875224,60,60,-0.5617319576579783
PctAcc,-0.2887661146657076,-0.22448043535265258,60,60,0.06428567931305504
PctTotAcc,0.10215858762957712,0.029254681495032558,60,60,-0.07290390613454456
PredictedFE,0.7647256468602195,0.7288998262729226,60,60,-0.035825820587296886
PriceDelayRsq,0.8216855670407612,0.3575150500179179,60,60,-0.46417051702284334
PriceDelaySlope,0.35813033160841684,0.29217358313563957,60,60,-0.06595674847277727
PriceDelayTstat,0.37356432032166675,0.2835282380101939,60,60,-0.09003608231147286
ProbInformedTrading,0.5126902685519183,0.2814396850829771,60,60,-0.23125058346894123
RD,-0.5005784022353944,-0.5082199341969083,60,60,-0.007641531961513848
RDAbility,0.2011132653327344,-0.03949317682541944,60,60,-0.24060644215815385
RDIPO,-0.15101109607514102,0.24815066031356342,60,60,0.39916175638870444
RDS,-0.08243903068419708,-0.5042334412012224,60,60,-0.42179441051702526
RDcap,-0.2787255711126631,-0.38700503155998817,60,60,-0.10827946044732506
REV6,-0.2568548045688871,-0.18296125736031735,60,60,0.07389354720856975
RIO_Disp,0.46326949212482244,-0.05846102618125684,60,60,-0.5217305183060793
RIO_MB,0.16005256213010746,-0.19929276053136913,60,60,-0.35934532266147656
RIO_Turnover,0.6044944500576619,0.2353353097173267,60,60,-0.3691591403403352
RIO_Volatility,0.6684012888417504,-0.13879886710604267,60,60,-0.807200155947793
RIVolSpread,0.41304380181868644,0.11108237583340361,60,60,-0.30196142598528286
RealizedVol,0.6976852649371843,0.758525487174503,60,60,0.060840222237318664
Recomm_ShortInterest,0.09741392571998388,0.5356067295492799,60,60,0.43819280382929604
ResidualMomentum,0.5683518459075491,0.5028693404187261,60,60,-0.06548250548882295
ReturnSkew,0.4473731527974321,0.4840437588649379,60,60,0.03667060606750577
ReturnSkew3F,0.277184590706201,0.43777180332091864,60,60,0.16058721261471764
RevenueSurprise,-0.1898858884527781,0.43347259229484925,60,60,0.6233584807476273
RoE,-0.49205921953290443,-0.22147931784327757,60,60,0.27057990168962687
SP,0.6291813837710035,0.18266589986186826,60,60,-0.44651548390913526
STreversal,0.3589122807299635,0.7586187248184298,60,60,0.39970644408846634
ShareIss1Y,0.6430981591568257,0.4331902134619925,60,60,-0.20990794569483318
ShareIss5Y,0.6585086703823986,0.28769101507114186,60,60,-0.3708176553112567
ShareRepurchase,-0.7341896381790768,-0.6623264126710413,60,60,0.07186322550803548
ShareVol,0.6552714138505422,0.47411378232519247,60,60,-0.18115763152534975
ShortInterest,0.39888236497715174,0.6320078706195746,60,60,0.2331255056424229
Size,0.73998502104572,0.8275366821187891,60,60,0.08755166107306911
SmileSlope,0.1709703792561612,0.45032718349000345,60,60,0.27935680423384224
Spinoff,0.2828700627879663,-0.1166575667134534,60,60,-0.3995276295014197
SurpriseRD,-0.591078102802415,0.2861082001611327,60,60,0.8771863029635477
Tax,0.31891852235944207,0.007505652753534084,60,60,-0.31141286960590797
TotalAccruals,-0.34783703043488795,-0.2338090164774373,60,60,0.11402801395745066
TrendFactor,0.21489129088276968,0.21688590630594992,60,60,0.001994615423180246
UpRecomm,0.01502800133619958,-0.04378702232373972,60,60,-0.0588150236599393
VarCF,-0.8838411402843083,-0.5245554926078626,60,60,0.35928564767644566
VolMkt,0.13441570695087893,0.07089059012946784,60,60,-0.06352511682141108
VolSD,0.5797412957406421,0.7342479795023645,60,60,0.15450668376172239
VolumeTrend,0.6189961048017008,0.545006175504147,60,60,-0.07398992929755377
XFIN,0.7257213470033438,0.2433139484867405,60,60,-0.4824073985166033
betaVIX,0.4597837240679406,0.2592215955888609,60,60,-0.20056212847907973
cfp,0.6137608983331345,-0.046121981501218094,60,60,-0.6598828798343526
dCPVolSpread,-0.0007943725000566674,0.23407567931764534,60,60,0.234870051817702
dNoa,0.2418705278604658,-0.17116580688225855,60,60,-0.4130363347427244
dVolCall,-0.29965352086285024,-0.227532043430647,60,60,0.07212147743220323
dVolPut,0.3090416187573082,0.29066764303419906,60,60,-0.018373975723109115
fgr5yrLag,0.07806331308534666,-0.024667446712646666,60,60,-0.10273075979799332
grcapx,0.7295411894834917,0.29706661410312685,60,60,-0.4324745753803648
grcapx3y,0.5996415976677604,0.34327314268729875,60,60,-0.2563684549804616
hire,0.25313739688372244,0.38021611476377576,60,60,0.12707871788005332
iomom_cust,0.0478983370473243,0.2622555847416874,60,60,0.21435724769436312
iomom_supp,0.03347097826081781,0.18391454744157698,60,60,0.15044356918075918
realestate,0.3397310065475195,0.32066460356308996,60,60,-0.01906640298442952
retConglomerate,0.12723116121698344,0.2638480018213435,60,60,0.13661684060436005
roaq,0.5472400662384491,0.4242359118866697,60,60,-0.12300415435177942
sfe,0.5702922622915413,0.6034387201090903,60,60,0.03314645781754899
sinAlgo,-0.3599420345566256,-0.4815592883496935,60,60,-0.12161725379306793
skew1,0.31612858793521215,-0.08420408891018268,60,60,-0.4003326768453948
std_turn,0.5904685662480367,0.5692796297915327,60,60,-0.021188936456503993
tang,-0.16420525225578275,-0.36209508346406544,60,60,-0.19788983120828268
zerotrade12M,0.7378162228878352,0.7950699742139473,60,60,0.0572537513261121
zerotrade1M,0.6989130262644327,0.8235798265271455,60,60,0.12466680026271271
zerotrade6M,0.6981698307741907,0.7841690071813835,60,60,0.08599917640719279
