signalname,pre_corr,post_corr,pre_n,post_n,change
AM,0.7430519978263709,0.07352225157144313,60,60,-0.6695297462549278
AOP,0.664509387955257,0.5205559854029183,60,60,-0.1439534025523388
AbnormalAccruals,-0.576126296480281,-0.4644740238086299,60,60,0.11165227267165112
Accruals,0.2413275559468177,-0.11247718649630502,60,60,-0.3538047424431227
AccrualsBM,0.22978361303858896,-0.47469447097253337,60,60,-0.7044780840111223
AdExp,0.5014121973592095,-0.0052075458569413365,60,60,-0.5066197432161509
AgeIPO,-0.20352890839021442,-0.28731965567374296,60,60,-0.08379074728352853
AnalystRevision,-0.15704210544499228,-0.4488000243843958,60,60,-0.2917579189394035
AnalystValue,0.5179385261439813,0.8039143590874753,60,60,0.28597583294349405
AnnouncementReturn,-0.09221582692445882,0.03624975752853602,60,60,0.12846558445299483
AssetGrowth,0.1521872657560336,-0.02325408562823579,60,60,-0.17544135138426942
BMdec,0.3402838735193933,0.049006187330494146,60,60,-0.29127768618889915
BPEBM,-0.40153550250384723,-0.13178535654815218,60,60,0.269750145955695
BetaFP,-0.6868307008123106,-0.7683688991696762,60,60,-0.08153819835736564
BetaLiquidityPS,-0.30633711393443586,-0.0084177979927864,60,60,0.29791931594164944
BetaTailRisk,-0.7093000076241224,-0.6878127724280069,60,60,0.021487235196115506
BidAskSpread,0.8113046384932983,0.9403070405720475,60,60,0.12900240207874925
BookLeverage,-0.38804851035194193,0.19371015434067218,60,60,0.5817586646926141
BrandInvest,-0.027649516516939674,-0.07340279224533458,60,60,-0.04575327572839491
CBOperProf,0.5363194864231966,0.15926548523872372,60,60,-0.37705400118447285
CF,-0.814044289003184,-0.2056958421942746,60,60,0.6083484468089094
CPVolSpread,0.4256420143895049,0.09065548983773146,60,60,-0.3349865245517734
Cash,0.0709619062857677,-0.4122546571339791,60,60,-0.4832165634197468
CashProd,-0.31010404307065126,0.30603510836816367,60,60,0.6161391514388149
ChAssetTurnover,-0.18160351149140594,-0.07127127166025762,60,60,0.11033223983114832
ChEQ,-0.11168533623163598,0.04389739956572129,60,60,0.15558273579735726
ChForecastAccrual,0.3848172298636297,0.2123963613194849,60,60,-0.17242086854414482
