group,n,mean_change,se,t,positive_share
predictors_60m,204,-0.023828445886304363,0.024350954956598933,-0.9785425634754019,0.4803921568627451
placebos_60m,0,,,,
difference_60m,0,,,,
predictors_120m,203,-0.04600934789148928,0.020316343920140246,-2.264647028635833,0.43349753694581283
placebos_120m,0,,,,
difference_120m,0,,,,
